,"('k9a 0',)","('k9a 1',)","('k9a 2',)","('k9a 3',)","('k9a 4',)",k9a 0_pred,k9a 1_pred,k9a 2_pred,k9a 3_pred,k9a 4_pred
0,0.9769,0.0228,0.0003,0.0,0.0,0.9490406,0.048347414,0.0,0.0,0.0
1,0.9769,0.0228,0.0003,0.0,0.0,0.97432286,0.026070863,0.0,0.0,0.0
2,0.9769,0.0228,0.0003,0.0,0.0,0.9681569,0.031245604,0.0,0.0,0.0
3,0.9769,0.0228,0.0003,0.0,0.0,0.9695646,0.030020162,0.0,0.0,0.0
4,0.9769,0.0228,0.0003,0.0,0.0,0.9695658,0.030033067,0.0,0.0,0.0
5,0.8102,0.1704,0.018,0.0013,0.0001,0.81147975,0.16905227,0.0,0.0,0.0
6,0.9769,0.0228,0.0003,0.0,0.0,0.9736183,0.02527675,0.0,0.0,0.0
7,0.8102,0.1704,0.018,0.0013,0.0001,0.8087028,0.17176831,0.0,0.0,0.0
8,0.8102,0.1704,0.018,0.0013,0.0001,0.81016463,0.17003432,0.0,0.0,0.0
9,0.9769,0.0228,0.0003,0.0,0.0,0.95924413,0.039619997,0.0,0.0,0.0
10,0.8102,0.1704,0.018,0.0013,0.0001,0.80978286,0.17106032,0.0,0.0,0.0
11,0.9769,0.0228,0.0003,0.0,0.0,0.9059127,0.08516583,0.0,0.0,0.0
12,0.8102,0.1704,0.018,0.0013,0.0001,0.8107773,0.16885018,0.0,0.0,0.0
13,0.8102,0.1704,0.018,0.0013,0.0001,0.8747883,0.113146156,0.0,0.0,0.0
14,0.9769,0.0228,0.0003,0.0,0.0,0.9750186,0.025492787,0.0,0.0,0.0
15,0.8102,0.1704,0.018,0.0013,0.0001,0.80990475,0.17040034,0.0,0.0,0.0
16,0.9769,0.0228,0.0003,0.0,0.0,0.98206556,0.019132465,0.0,0.0,0.0
17,0.9769,0.0228,0.0003,0.0,0.0,0.9773252,0.022766426,0.0,0.0,0.0
18,0.9769,0.0228,0.0003,0.0,0.0,0.9720313,0.028997973,0.0,0.0,0.0
19,0.8102,0.1704,0.018,0.0013,0.0001,0.81377184,0.1670709,0.0,0.0,0.0
20,0.8102,0.1704,0.018,0.0013,0.0001,0.80929196,0.17248271,0.019312058,0.0,0.0
21,0.9769,0.0228,0.0003,0.0,0.0,0.9715126,0.028863445,0.0,0.0,0.0
22,0.8102,0.1704,0.018,0.0013,0.0001,0.85282767,0.13276011,0.0,0.0,0.0
23,0.8102,0.1704,0.018,0.0013,0.0001,0.8101462,0.17022875,0.0,0.0,0.0
24,0.9769,0.0228,0.0003,0.0,0.0,0.9743304,0.02443187,0.0,0.0,0.0
