,"('k6a 0',)","('k6a 1',)","('k6a 2',)","('k6a 3',)","('k6a 4',)",k6a 0_pred,k6a 1_pred,k6a 2_pred,k6a 3_pred,k6a 4_pred
3682,0.9307,0.0669,0.0024,0.0001,0.0,0.9314784,0.06675474,0.0,0.0,0.0
3683,0.5232,0.3386,0.1098,0.0239,0.004,0.5214187,0.34003899,0.10985182,0.0,0.0
3684,0.5232,0.3386,0.1098,0.0239,0.004,0.5237853,0.3375415,0.11237266,0.0,0.0
3685,0.5232,0.3386,0.1098,0.0239,0.004,0.5234696,0.33641934,0.11024065,0.0,0.0
3686,0.5232,0.3386,0.1098,0.0239,0.004,0.5296511,0.33545327,0.108432785,0.0,0.0
3687,0.9307,0.0669,0.0024,0.0001,0.0,0.94037503,0.060483813,0.0,0.0,0.0
3688,0.9307,0.0669,0.0024,0.0001,0.0,0.9291296,0.06716299,0.0,0.0,0.0
3689,0.9307,0.0669,0.0024,0.0001,0.0,0.9321444,0.066617504,0.002181394,0.0,0.0
3690,0.9307,0.0669,0.0024,0.0001,0.0,0.9321414,0.06636503,0.0020570569,0.0,0.0
3691,0.9307,0.0669,0.0024,0.0001,0.0,0.9314474,0.06694189,0.0,0.0,0.0
3692,0.9307,0.0669,0.0024,0.0001,0.0,0.9300054,0.06683929,0.0,0.0,0.0
3693,0.9307,0.0669,0.0024,0.0001,0.0,0.93437135,0.06612073,0.0,0.0,0.0
3694,0.9307,0.0669,0.0024,0.0001,0.0,0.931604,0.06666748,0.0,0.0,0.0
3695,0.5232,0.3386,0.1098,0.0239,0.004,0.52161735,0.3398742,0.10994024,0.0,0.0
3696,0.9307,0.0669,0.0024,0.0001,0.0,0.93252945,0.06751494,0.0,0.0,0.0
3697,0.5232,0.3386,0.1098,0.0239,0.004,0.5241362,0.33615786,0.110441536,0.0,0.0
3698,0.5232,0.3386,0.1098,0.0239,0.004,0.80181926,0.14819294,0.0,0.0,0.0
3699,0.5232,0.3386,0.1098,0.0239,0.004,0.524795,0.33659327,0.10781202,0.0,0.0
3700,0.9307,0.0669,0.0024,0.0001,0.0,0.932352,0.06612569,0.0019224584,0.0,0.0
3701,0.9307,0.0669,0.0024,0.0001,0.0,0.9299203,0.06744298,0.0,0.0,0.0
3702,0.9307,0.0669,0.0024,0.0001,0.0,0.93235046,0.06614354,0.0019297227,0.0,0.0
3703,0.9307,0.0669,0.0024,0.0001,0.0,0.9276136,0.06762193,0.0,0.0,0.0
3704,0.5232,0.3386,0.1098,0.0239,0.004,0.52573204,0.3370438,0.110580325,0.0,0.0
3705,0.5232,0.3386,0.1098,0.0239,0.004,0.5251006,0.33672303,0.11133358,0.0,0.0
3706,0.9307,0.0669,0.0024,0.0001,0.0,0.93127733,0.06675698,0.002383018,0.0,0.0
3707,0.9307,0.0669,0.0024,0.0001,0.0,0.927873,0.065823495,0.0,0.0,0.0
3708,0.5232,0.3386,0.1098,0.0239,0.004,0.52662355,0.33595216,0.11162495,0.0,0.0
3709,0.5232,0.3386,0.1098,0.0239,0.004,0.52551645,0.33731678,0.110534474,0.0,0.0
3710,0.5232,0.3386,0.1098,0.0239,0.004,0.52496064,0.3375449,0.10832405,0.0,0.0
3711,0.9307,0.0669,0.0024,0.0001,0.0,0.9405147,0.06042423,0.0,0.0,0.0
3712,0.5232,0.3386,0.1098,0.0239,0.004,0.52224904,0.33837837,0.11192505,0.0,0.0
3713,0.9307,0.0669,0.0024,0.0001,0.0,0.92738116,0.06908403,0.0,0.0,0.0
3714,0.5232,0.3386,0.1098,0.0239,0.004,0.5233814,0.3374908,0.11019336,0.0,0.0
3715,0.5232,0.3386,0.1098,0.0239,0.004,0.52698624,0.33633807,0.10949,0.0,0.0
3716,0.5232,0.3386,0.1098,0.0239,0.004,0.52498937,0.33623472,0.11043232,0.0,0.0
3717,0.9307,0.0669,0.0024,0.0001,0.0,0.93166566,0.06662631,0.0,0.0,0.0
3718,0.9307,0.0669,0.0024,0.0001,0.0,0.93871415,0.062353477,0.0,0.0,0.0
3719,0.9307,0.0669,0.0024,0.0001,0.0,0.94007957,0.060753383,0.0,0.0,0.0
3720,0.9307,0.0669,0.0024,0.0001,0.0,0.9323746,0.06612175,0.0019163806,0.0,0.0
3721,0.5232,0.3386,0.1098,0.0239,0.004,0.52575666,0.33533445,0.10861186,0.0,0.0
3722,0.5232,0.3386,0.1098,0.0239,0.004,0.524484,0.33768764,0.1106376,0.0,0.0
3723,0.5232,0.3386,0.1098,0.0239,0.004,0.5249481,0.3375843,0.11036054,0.0,0.0
3724,0.9307,0.0669,0.0024,0.0001,0.0,0.9285245,0.06742188,0.0030662771,0.0,0.0
3725,0.9307,0.0669,0.0024,0.0001,0.0,0.93204063,0.066444844,0.0021055173,0.0,0.0
3726,0.5232,0.3386,0.1098,0.0239,0.004,0.52486205,0.33491066,0.11031962,0.0,0.0
3727,0.9307,0.0669,0.0024,0.0001,0.0,0.9318533,0.066559285,0.0021785554,0.0,0.0
3728,0.9307,0.0669,0.0024,0.0001,0.0,0.9300638,0.06757909,0.0018266812,0.0,0.0
3729,0.9307,0.0669,0.0024,0.0001,0.0,0.9313214,0.06679726,0.0,0.0,0.0
3730,0.9307,0.0669,0.0024,0.0001,0.0,0.9291246,0.06402554,0.0,0.0,0.0
3731,0.9307,0.0669,0.0024,0.0001,0.0,0.92969203,0.066950575,0.0027125366,0.0,0.0
3732,0.9307,0.0669,0.0024,0.0001,0.0,0.93186724,0.066768095,0.0,0.0,0.0
3733,0.5232,0.3386,0.1098,0.0239,0.004,0.52200574,0.3392206,0.111852005,0.0,0.0
3734,0.9307,0.0669,0.0024,0.0001,0.0,0.9404779,0.060462035,0.0,0.0,0.0
3735,0.9307,0.0669,0.0024,0.0001,0.0,0.92954206,0.0671125,0.0,0.0,0.0
3736,0.9307,0.0669,0.0024,0.0001,0.0,0.9382005,0.06287547,0.0,0.0,0.0
3737,0.5232,0.3386,0.1098,0.0239,0.004,0.5216052,0.33990553,0.10991007,0.0,0.0
3738,0.5232,0.3386,0.1098,0.0239,0.004,0.5229654,0.33751768,0.11043252,0.0,0.0
3739,0.5232,0.3386,0.1098,0.0239,0.004,0.52275425,0.33808073,0.109968185,0.0,0.0
3740,0.5232,0.3386,0.1098,0.0239,0.004,0.5221602,0.33884132,0.10946764,0.0,0.0
3741,0.5232,0.3386,0.1098,0.0239,0.004,0.52531445,0.33920082,0.10729583,0.0,0.0
3742,0.9307,0.0669,0.0024,0.0001,0.0,0.93812853,0.06292133,0.0,0.0,0.0
3743,0.9307,0.0669,0.0024,0.0001,0.0,0.93070763,0.06650637,0.0,0.0,0.0
3744,0.5232,0.3386,0.1098,0.0239,0.004,0.5235761,0.33717164,0.11065867,0.0,0.0
3745,0.9307,0.0669,0.0024,0.0001,0.0,0.9403084,0.060652994,0.0,0.0,0.0
3746,0.9307,0.0669,0.0024,0.0001,0.0,0.9312813,0.06691339,0.0,0.0,0.0
3747,0.5232,0.3386,0.1098,0.0239,0.004,0.5223539,0.33875945,0.111686386,0.0,0.0
3748,0.9307,0.0669,0.0024,0.0001,0.0,0.94025344,0.06056898,0.0,0.0,0.0
3749,0.5232,0.3386,0.1098,0.0239,0.004,0.52458763,0.33640948,0.11034548,0.0,0.0
3750,0.5232,0.3386,0.1098,0.0239,0.004,0.52280366,0.33866867,0.11121269,0.0,0.0
3751,0.5232,0.3386,0.1098,0.0239,0.004,0.5250371,0.33775777,0.11338263,0.0,0.0
3752,0.9307,0.0669,0.0024,0.0001,0.0,0.9317726,0.06685647,0.0023391955,0.0,0.0
3753,0.9307,0.0669,0.0024,0.0001,0.0,0.9300734,0.066819884,0.0,0.0,0.0
3754,0.9307,0.0669,0.0024,0.0001,0.0,0.9403014,0.060518134,0.0,0.0,0.0
3755,0.5232,0.3386,0.1098,0.0239,0.004,0.5237822,0.33713454,0.11039229,0.0,0.0
3756,0.5232,0.3386,0.1098,0.0239,0.004,0.52237636,0.3382343,0.11137169,0.0,0.0
3757,0.9307,0.0669,0.0024,0.0001,0.0,0.9301031,0.06681092,0.0,0.0,0.0
3758,0.5232,0.3386,0.1098,0.0239,0.004,0.52242935,0.3385504,0.111613795,0.0,0.0
3759,0.5232,0.3386,0.1098,0.0239,0.004,0.52256703,0.3386533,0.112429254,0.0,0.0
3760,0.5232,0.3386,0.1098,0.0239,0.004,0.52540964,0.33699742,0.11074983,0.0,0.0
3761,0.9307,0.0669,0.0024,0.0001,0.0,0.93109,0.06683938,0.0,0.0,0.0
3762,0.9307,0.0669,0.0024,0.0001,0.0,0.9288029,0.06904158,0.0,0.0,0.0
3763,0.5232,0.3386,0.1098,0.0239,0.004,0.52257013,0.3381735,0.11024945,0.0,0.0
3764,0.5232,0.3386,0.1098,0.0239,0.004,0.52285326,0.3381186,0.11004027,0.0,0.0
3765,0.5232,0.3386,0.1098,0.0239,0.004,0.5228787,0.33815464,0.11264413,0.0,0.0
3766,0.9307,0.0669,0.0024,0.0001,0.0,0.934804,0.06579389,0.0,0.0,0.0
3767,0.5232,0.3386,0.1098,0.0239,0.004,0.5242189,0.3364108,0.110180736,0.0,0.0
3768,0.5232,0.3386,0.1098,0.0239,0.004,0.5263027,0.33580518,0.111527964,0.0,0.0
3769,0.5232,0.3386,0.1098,0.0239,0.004,0.5237175,0.33598545,0.11325458,0.0,0.0
3770,0.5232,0.3386,0.1098,0.0239,0.004,0.5229801,0.33918038,0.11009696,0.0,0.0
3771,0.9307,0.0669,0.0024,0.0001,0.0,0.92757154,0.06816327,0.0,0.0,0.0
3772,0.5232,0.3386,0.1098,0.0239,0.004,0.5240488,0.3368647,0.11037363,0.0,0.0
3773,0.9307,0.0669,0.0024,0.0001,0.0,0.9282715,0.06756852,0.0,0.0,0.0
3774,0.9307,0.0669,0.0024,0.0001,0.0,0.9402545,0.06056789,0.0,0.0,0.0
3775,0.5232,0.3386,0.1098,0.0239,0.004,0.5247084,0.33638018,0.11069514,0.0,0.0
3776,0.9307,0.0669,0.0024,0.0001,0.0,0.93697363,0.06406022,0.0,0.0,0.0
3777,0.9307,0.0669,0.0024,0.0001,0.0,0.9295548,0.06706089,0.0,0.0,0.0
3778,0.5232,0.3386,0.1098,0.0239,0.004,0.5232253,0.33664292,0.11206521,0.0,0.0
3779,0.5232,0.3386,0.1098,0.0239,0.004,0.52271247,0.33895466,0.11197111,0.0,0.0
3780,0.5232,0.3386,0.1098,0.0239,0.004,0.52620363,0.3355453,0.111053824,0.0,0.0
3781,0.5232,0.3386,0.1098,0.0239,0.004,0.52506256,0.33721155,0.110585116,0.0,0.0
3782,0.9307,0.0669,0.0024,0.0001,0.0,0.93024766,0.0668385,0.0,0.0,0.0
3783,0.5232,0.3386,0.1098,0.0239,0.004,0.521761,0.33862427,0.111436225,0.0,0.0
3784,0.9307,0.0669,0.0024,0.0001,0.0,0.93180245,0.06680877,0.0023135468,0.0,0.0
3785,0.9307,0.0669,0.0024,0.0001,0.0,0.9309371,0.0664269,0.0,0.0,0.0
3786,0.5232,0.3386,0.1098,0.0239,0.004,0.5271691,0.33621794,0.110667974,0.0,0.0
3787,0.9307,0.0669,0.0024,0.0001,0.0,0.93022645,0.06638667,0.0,0.0,0.0
3788,0.9307,0.0669,0.0024,0.0001,0.0,0.9405248,0.06041353,0.0,0.0,0.0
3789,0.9307,0.0669,0.0024,0.0001,0.0,0.9312971,0.06695335,0.0,0.0,0.0
3790,0.9307,0.0669,0.0024,0.0001,0.0,0.9320519,0.06645729,0.0021095164,0.0,0.0
3791,0.9307,0.0669,0.0024,0.0001,0.0,0.9385412,0.062450167,0.0,0.0,0.0
3792,0.9307,0.0669,0.0024,0.0001,0.0,0.9288999,0.06726527,0.0,0.0,0.0
3793,0.5232,0.3386,0.1098,0.0239,0.004,0.5235268,0.3369036,0.11016593,0.0,0.0
3794,0.9307,0.0669,0.0024,0.0001,0.0,0.9274247,0.06737751,0.0,0.0,0.0
3795,0.5232,0.3386,0.1098,0.0239,0.004,0.5225484,0.33964512,0.11156065,0.0,0.0
3796,0.9307,0.0669,0.0024,0.0001,0.0,0.9312216,0.06687388,0.0,0.0,0.0
3797,0.9307,0.0669,0.0024,0.0001,0.0,0.9323709,0.06620148,0.001950061,0.0,0.0
3798,0.5232,0.3386,0.1098,0.0239,0.004,0.5249758,0.33635047,0.111385845,0.0,0.0
3799,0.9307,0.0669,0.0024,0.0001,0.0,0.93001086,0.067217276,0.0,0.0,0.0
