,"('k1 0',)","('k1 1',)","('k1 2',)","('k1 3',)","('k1 4',)",k1 0_pred,k1 1_pred,k1 2_pred,k1 3_pred,k1 4_pred
4344,0.9686,0.0309,0.0005,0.0,0.0,0.9698744,0.02747367,0.0,0.0,0.0
4345,0.7501,0.2155,0.031,0.003,0.0002,0.7451752,0.21761957,0.0,0.0050671287,0.0
4346,0.7501,0.2155,0.031,0.003,0.0002,0.7500371,0.21547423,0.0,0.0,0.0
4347,0.7501,0.2155,0.031,0.003,0.0002,0.75073576,0.21459791,0.0,0.0,0.0
4348,0.9686,0.0309,0.0005,0.0,0.0,0.9677454,0.029897992,0.0,0.0,0.0
4349,0.7501,0.2155,0.031,0.003,0.0002,0.7541764,0.2071858,0.0,0.0,0.0
4350,0.7501,0.2155,0.031,0.003,0.0002,0.8992649,0.08823164,0.0,0.0,0.0
4351,0.7501,0.2155,0.031,0.003,0.0002,0.7501362,0.21528688,0.0,0.0,0.0
4352,0.9686,0.0309,0.0005,0.0,0.0,0.9598944,0.033242248,0.0,0.0,0.0
4353,0.9686,0.0309,0.0005,0.0,0.0,0.9630225,0.033646822,0.0,0.0,0.0
4354,0.9686,0.0309,0.0005,0.0,0.0,0.9570025,0.034406874,0.0,0.0,0.0
4355,0.7501,0.2155,0.031,0.003,0.0002,0.7508649,0.21081674,0.0,0.0,0.0
4356,0.9686,0.0309,0.0005,0.0,0.0,0.9683456,0.027978048,0.0,0.0,0.0
4357,0.7501,0.2155,0.031,0.003,0.0002,0.7453221,0.21647105,0.0,0.0049146656,0.0
4358,0.7501,0.2155,0.031,0.003,0.0002,0.74965906,0.2161967,0.0,0.0,0.0
4359,0.9686,0.0309,0.0005,0.0,0.0,0.9572825,0.032818623,0.0,0.0,0.0
4360,0.7501,0.2155,0.031,0.003,0.0002,0.7454599,0.21245219,0.0,0.0016386863,0.0
4361,0.7501,0.2155,0.031,0.003,0.0002,0.75034094,0.21652658,0.0,0.0,0.0
4362,0.9686,0.0309,0.0005,0.0,0.0,0.9624438,0.034364875,0.0,0.0,0.0
4363,0.9686,0.0309,0.0005,0.0,0.0,0.96333724,0.0337418,0.0,0.0,0.0
4364,0.7501,0.2155,0.031,0.003,0.0002,0.7477002,0.21695805,0.0,0.0,0.0
4365,0.9686,0.0309,0.0005,0.0,0.0,0.96228236,0.033505734,0.0,0.0,0.0
4366,0.9686,0.0309,0.0005,0.0,0.0,0.9676579,0.02776799,0.0,0.0,0.0
4367,0.7501,0.2155,0.031,0.003,0.0002,0.7452516,0.21778157,0.0,0.0051185675,0.0
4368,0.7501,0.2155,0.031,0.003,0.0002,0.7495228,0.21659009,0.0,0.0,0.0
4369,0.9686,0.0309,0.0005,0.0,0.0,0.9688474,0.028458536,0.0,0.0,0.0
4370,0.9686,0.0309,0.0005,0.0,0.0,0.9554671,0.03277442,0.0,0.0,0.0
4371,0.9686,0.0309,0.0005,0.0,0.0,0.96516937,0.03179257,0.0,0.0,0.0
4372,0.9686,0.0309,0.0005,0.0,0.0,0.9558631,0.033313915,0.0,0.0,0.0
4373,0.7501,0.2155,0.031,0.003,0.0002,0.7497983,0.21181598,0.0,0.0,0.0
4374,0.7501,0.2155,0.031,0.003,0.0002,0.7496201,0.21362376,0.0,0.0,0.0
4375,0.9686,0.0309,0.0005,0.0,0.0,0.96773905,0.030437823,0.0,0.0,0.0
4376,0.9686,0.0309,0.0005,0.0,0.0,0.9592689,0.036824685,0.0,0.0,0.0
4377,0.7501,0.2155,0.031,0.003,0.0002,0.74491787,0.21939243,0.0,0.0,0.0
4378,0.7501,0.2155,0.031,0.003,0.0002,0.7473476,0.21566892,0.0,0.0,0.0
4379,0.9686,0.0309,0.0005,0.0,0.0,0.75399786,0.20849076,0.0,0.0,0.0
4380,0.7501,0.2155,0.031,0.003,0.0002,0.74982136,0.21609169,0.0,0.0,0.0
4381,0.7501,0.2155,0.031,0.003,0.0002,0.74987507,0.21544859,0.0,0.0,0.0
4382,0.9686,0.0309,0.0005,0.0,0.0,0.96848035,0.026571542,0.0,0.0,0.0
4383,0.9686,0.0309,0.0005,0.0,0.0,0.9655416,0.031449348,0.0,0.0,0.0
4384,0.9686,0.0309,0.0005,0.0,0.0,0.9658746,0.029939871,0.0,0.0,0.0
4385,0.7501,0.2155,0.031,0.003,0.0002,0.7450943,0.21830267,0.0,0.005601149,0.0
4386,0.7501,0.2155,0.031,0.003,0.0002,0.74374294,0.21810043,0.0,0.007114779,0.0
4387,0.7501,0.2155,0.031,0.003,0.0002,0.7453918,0.21825385,0.0,0.0,0.0
4388,0.7501,0.2155,0.031,0.003,0.0002,0.74575734,0.21932788,0.0,0.0,0.0
4389,0.9686,0.0309,0.0005,0.0,0.0,0.96295834,0.03297504,0.0,0.0,0.0
4390,0.7501,0.2155,0.031,0.003,0.0002,0.74984187,0.2160353,0.0,0.0,0.0
4391,0.7501,0.2155,0.031,0.003,0.0002,0.7497504,0.21616663,0.0,0.0,0.0
4392,0.9686,0.0309,0.0005,0.0,0.0,0.95623773,0.03332659,0.0,0.0,0.0
4393,0.7501,0.2155,0.031,0.003,0.0002,0.74556404,0.21733457,0.0,0.004695745,0.0
4394,0.7501,0.2155,0.031,0.003,0.0002,0.74670523,0.2177442,0.0,0.0,0.0
4395,0.9686,0.0309,0.0005,0.0,0.0,0.96800494,0.029081956,0.0,0.0,0.0
4396,0.9686,0.0309,0.0005,0.0,0.0,0.96401584,0.03434962,0.0,0.0,0.0
4397,0.7501,0.2155,0.031,0.003,0.0002,0.74696183,0.21524854,0.0,0.002187809,0.0
4398,0.7501,0.2155,0.031,0.003,0.0002,0.7498282,0.21606782,0.0,0.0,0.0
4399,0.7501,0.2155,0.031,0.003,0.0002,0.7467458,0.21829754,0.0,0.0,0.0
4400,0.9686,0.0309,0.0005,0.0,0.0,0.95776606,0.034531847,0.0,0.0,0.0
4401,0.7501,0.2155,0.031,0.003,0.0002,0.7469068,0.21788178,0.0,0.0,0.0
4402,0.7501,0.2155,0.031,0.003,0.0002,0.7469096,0.21357553,0.0,0.0012630988,0.0
4403,0.9686,0.0309,0.0005,0.0,0.0,0.9669919,0.032236487,0.0,0.0,0.0
4404,0.9686,0.0309,0.0005,0.0,0.0,0.96867174,0.02860577,0.0,0.0,0.0
4405,0.7501,0.2155,0.031,0.003,0.0002,0.7500134,0.21544668,0.0,0.0,0.0
4406,0.7501,0.2155,0.031,0.003,0.0002,0.7452902,0.21735525,0.0,0.004766457,0.0
4407,0.7501,0.2155,0.031,0.003,0.0002,0.7497469,0.2151647,0.0,0.0,0.0
4408,0.7501,0.2155,0.031,0.003,0.0002,0.75035286,0.21567643,0.0,0.0,0.0
4409,0.7501,0.2155,0.031,0.003,0.0002,0.94323426,0.05585625,0.0,0.0,0.0
4410,0.9686,0.0309,0.0005,0.0,0.0,0.952476,0.045073096,0.0,0.0,0.0
4411,0.9686,0.0309,0.0005,0.0,0.0,0.96432555,0.037255976,0.0,0.0,0.0
4412,0.7501,0.2155,0.031,0.003,0.0002,0.7513579,0.20986636,0.0,0.0,0.0
4413,0.7501,0.2155,0.031,0.003,0.0002,0.94640374,0.043351695,0.0,0.0,0.0
4414,0.7501,0.2155,0.031,0.003,0.0002,0.74986136,0.21534698,0.0,0.0,0.0
4415,0.7501,0.2155,0.031,0.003,0.0002,0.7470392,0.21314447,0.0,0.0006277058,0.0
4416,0.7501,0.2155,0.031,0.003,0.0002,0.74711615,0.21752219,0.0,0.0031584576,0.0
4417,0.9686,0.0309,0.0005,0.0,0.0,0.965238,0.027270414,0.0,0.0,0.0
4418,0.7501,0.2155,0.031,0.003,0.0002,0.7474408,0.21708347,0.0,0.0019662492,0.0
4419,0.7501,0.2155,0.031,0.003,0.0002,0.75001967,0.21531753,0.0,0.0,0.0
4420,0.7501,0.2155,0.031,0.003,0.0002,0.7593958,0.20559372,0.0,0.0,0.0
4421,0.9686,0.0309,0.0005,0.0,0.0,0.96702254,0.03216243,0.0,0.0,0.0
4422,0.9686,0.0309,0.0005,0.0,0.0,0.9677342,0.026957776,0.0,0.0,0.0
4423,0.7501,0.2155,0.031,0.003,0.0002,0.74496424,0.21829654,0.0,0.005689651,0.0
4424,0.7501,0.2155,0.031,0.003,0.0002,0.74973464,0.21570683,0.0,0.0,0.0
4425,0.7501,0.2155,0.031,0.003,0.0002,0.7487075,0.21449889,0.0,0.0,0.0
4426,0.9686,0.0309,0.0005,0.0,0.0,0.96723455,0.03108805,0.0,0.0,0.0
4427,0.9686,0.0309,0.0005,0.0,0.0,0.9680004,0.028968114,0.0,0.0,0.0
4428,0.7501,0.2155,0.031,0.003,0.0002,0.74549544,0.21734096,0.0,0.0050409045,0.0
4429,0.9686,0.0309,0.0005,0.0,0.0,0.95669067,0.032304086,0.0,0.0,0.0
4430,0.7501,0.2155,0.031,0.003,0.0002,0.7497207,0.21580161,0.0,0.0,0.0
4431,0.7501,0.2155,0.031,0.003,0.0002,0.77824426,0.18944804,0.0,0.0,0.0
4432,0.7501,0.2155,0.031,0.003,0.0002,0.746526,0.21670505,0.0,0.0,0.0
4433,0.7501,0.2155,0.031,0.003,0.0002,0.78415465,0.19097596,0.0,0.0,0.0
4434,0.9686,0.0309,0.0005,0.0,0.0,0.96500826,0.029732116,0.0,0.0,0.0
