,main_maximum,all_maxima,no_of_max,Intensity,k6a1,k6a2,k11,k12,k9a1,k9a2,Energy_highest_max_normalized,Energy_all_max_normalized
194,0.732,"[-0.774 -0.706 -0.632 -0.488 -0.424 -0.34  -0.168 -0.082 -0.032  0.116
  0.202  0.274  0.456  0.506  0.586  0.732  0.81   0.864  0.908]",19,"[5.13153333 7.12691154 3.67648973 6.60689098 6.77243257 1.96059396
 5.73151898 4.49802496 3.82598908 6.1717241  4.15803675 3.12245712
 5.9393882  4.01913361 5.11906989 7.94963633 2.56013526 4.17318281
 2.44495026]",0.25,0.75,0.5,0.25,0.5,0.75,0.866,"[0.113 0.147 0.184 0.256 0.288 0.33  0.416 0.459 0.484 0.558 0.601 0.637
 0.728 0.753 0.793 0.866 0.905 0.932 0.954]"
195,0.73,"[-0.932 -0.772 -0.704 -0.628 -0.488 -0.424 -0.34  -0.178 -0.136 -0.084
 -0.034  0.116  0.202  0.274  0.456  0.506  0.592  0.73   0.81   0.864
  0.912]",21,"[1.95414876 4.97738894 6.99149465 3.68092556 6.42192958 6.79383049
 1.95317517 4.0829024  4.12349223 4.76911196 3.82635856 6.15072436
 4.12166749 3.13756023 5.97110652 4.11263374 4.91072901 8.32166029
 2.59544883 4.14944908 2.7216931 ]",0.25,0.75,0.5,0.25,0.75,0.25,0.865,"[0.034 0.114 0.148 0.186 0.256 0.288 0.33  0.411 0.432 0.458 0.483 0.558
 0.601 0.637 0.728 0.753 0.796 0.865 0.905 0.932 0.956]"
196,-0.566,[-0.688 -0.566 -0.048  0.032  0.598  0.656],6,[ 6.01449737 20.5826992  11.0930888  14.9577062  11.4372626  14.7102504 ],0.25,0.75,0.5,0.25,0.75,0.5,0.21700000000000003,[0.156 0.217 0.476 0.516 0.799 0.828]
197,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.166 -0.084 -0.032  0.116
  0.202  0.276  0.456  0.508  0.586  0.732  0.81   0.864  0.906]",19,"[5.13343845 7.0419149  3.6655061  6.3350257  6.8126468  1.98312736
 5.71885259 4.51658827 3.77772744 6.18090413 4.09425792 3.18545295
 5.91036141 3.99876712 5.17820634 8.42657286 2.57926726 4.22927636
 2.58148537]",0.25,0.75,0.5,0.25,0.75,0.75,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.417 0.458 0.484 0.558 0.601 0.638
 0.728 0.754 0.793 0.866 0.905 0.932 0.953]"
198,0.468,[-0.124  0.186  0.468  0.808  0.858],5,[13.5737155 27.2290972 27.5050315 14.467212  13.3731391],0.25,0.75,0.5,0.5,0.25,0.25,0.734,[0.438 0.593 0.734 0.904 0.929]
199,0.924,[-0.832  0.924],2,[15.2003269 57.8898797],0.25,0.75,0.5,0.5,0.25,0.5,0.962,[0.084 0.962]
200,0.466,[-0.126  0.176  0.466  0.81   0.854],5,[13.7337893 27.1546746 27.5557974 14.6853421 13.6723647],0.25,0.75,0.5,0.5,0.25,0.75,0.733,[0.437 0.588 0.733 0.905 0.927]
201,0.466,[-0.128  0.192  0.466  0.808  0.854],5,[13.4563083 27.0084965 27.5255103 14.6007702 13.550514 ],0.25,0.75,0.5,0.5,0.5,0.25,0.733,[0.436 0.596 0.733 0.904 0.927]
202,0.924,[-0.832  0.924],2,[16.040976  57.8172107],0.25,0.75,0.5,0.5,0.5,0.5,0.962,[0.084 0.962]
203,0.466,[-0.128  0.192  0.466  0.808  0.854],5,[13.4567357 27.0084796 27.5194396 14.6043707 13.5458923],0.25,0.75,0.5,0.5,0.5,0.75,0.733,[0.436 0.596 0.733 0.904 0.927]
204,0.466,[-0.126  0.176  0.466  0.81   0.854],5,[13.7280118 27.1550386 27.5541817 14.6850741 13.6733842],0.25,0.75,0.5,0.5,0.75,0.25,0.733,[0.437 0.588 0.733 0.905 0.927]
205,0.924,[-0.832  0.924],2,[15.2026573 57.8844261],0.25,0.75,0.5,0.5,0.75,0.5,0.962,[0.084 0.962]
206,0.468,[-0.124  0.186  0.468  0.81   0.858],5,[13.5786408 27.2219283 27.5267959 14.4755205 13.3616403],0.25,0.75,0.5,0.5,0.75,0.75,0.734,[0.438 0.593 0.734 0.905 0.929]
207,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.166 -0.084 -0.032  0.116
  0.202  0.276  0.456  0.508  0.586  0.732  0.81   0.864  0.906]",19,"[5.13327332 7.04180721 3.6655799  6.33521721 6.81244452 1.98313069
 5.71854903 4.51669718 3.77778471 6.18070522 4.09430552 3.18556901
 5.91028298 3.99871083 5.17818382 8.42660295 2.57916789 4.2293598
 2.58146347]",0.25,0.75,0.5,0.75,0.25,0.25,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.417 0.458 0.484 0.558 0.601 0.638
 0.728 0.754 0.793 0.866 0.905 0.932 0.953]"
208,-0.566,[-0.688 -0.566 -0.048  0.032  0.598  0.656],6,[ 6.01450536 20.5826989  11.0931384  14.9582765  11.437273   14.7102533 ],0.25,0.75,0.5,0.75,0.25,0.5,0.21700000000000003,[0.156 0.217 0.476 0.516 0.799 0.828]
209,0.73,"[-0.932 -0.772 -0.704 -0.628 -0.488 -0.424 -0.34  -0.178 -0.136 -0.084
 -0.034  0.116  0.202  0.274  0.456  0.506  0.592  0.73   0.81   0.864
  0.912]",21,"[1.95414691 4.9773874  6.99149471 3.68092531 6.42192999 6.79382913
 1.9531731  4.08290021 4.12349338 4.76911326 3.82635937 6.15072383
 4.12166825 3.13756041 5.97110656 4.11263373 4.91072932 8.3216608
 2.59544818 4.14944916 2.72169317]",0.25,0.75,0.5,0.75,0.25,0.75,0.865,"[0.034 0.114 0.148 0.186 0.256 0.288 0.33  0.411 0.432 0.458 0.483 0.558
 0.601 0.637 0.728 0.753 0.796 0.865 0.905 0.932 0.956]"
210,0.732,"[-0.774 -0.706 -0.632 -0.488 -0.424 -0.34  -0.168 -0.082 -0.032  0.116
  0.202  0.274  0.456  0.506  0.586  0.732  0.81   0.864  0.908]",19,"[5.13153329 7.1269116  3.67648969 6.6068909  6.77243266 1.96059402
 5.73151883 4.49802489 3.82598908 6.17172391 4.15803664 3.12245718
 5.93938814 4.0191336  5.11906991 7.94963637 2.56013521 4.17318286
 2.44495021]",0.25,0.75,0.5,0.75,0.5,0.25,0.866,"[0.113 0.147 0.184 0.256 0.288 0.33  0.416 0.459 0.484 0.558 0.601 0.637
 0.728 0.753 0.793 0.866 0.905 0.932 0.954]"
211,-0.578,[-0.578 -0.048  0.034  0.6    0.656],5,[23.4547403 11.2117825 14.9342515 11.2519949 14.8116799],0.25,0.75,0.5,0.75,0.5,0.5,0.21100000000000002,[0.211 0.476 0.517 0.8   0.828]
212,0.732,"[-0.774 -0.706 -0.632 -0.488 -0.424 -0.34  -0.168 -0.082 -0.032  0.116
  0.202  0.274  0.456  0.506  0.586  0.732  0.81   0.864  0.908]",19,"[5.13153318 7.12691172 3.67648956 6.60689067 6.77243286 1.96059417
 5.73151852 4.49802476 3.82598911 6.17172354 4.1580364  3.12245723
 5.93938785 4.0191335  5.11907002 7.94963646 2.56013501 4.17318286
 2.44495018]",0.25,0.75,0.5,0.75,0.5,0.75,0.866,"[0.113 0.147 0.184 0.256 0.288 0.33  0.416 0.459 0.484 0.558 0.601 0.637
 0.728 0.753 0.793 0.866 0.905 0.932 0.954]"
213,0.73,"[-0.932 -0.772 -0.704 -0.628 -0.488 -0.424 -0.34  -0.178 -0.136 -0.084
 -0.034  0.116  0.202  0.274  0.456  0.506  0.592  0.73   0.81   0.864
  0.912]",21,"[1.95414713 4.97738747 6.9914947  3.6809254  6.42193065 6.79382928
 1.95317327 4.08290002 4.12349315 4.76911304 3.82635921 6.15072351
 4.12166856 3.13756019 5.97110649 4.11263366 4.91072942 8.32166085
 2.59544811 4.14944922 2.721693  ]",0.25,0.75,0.5,0.75,0.75,0.25,0.865,"[0.034 0.114 0.148 0.186 0.256 0.288 0.33  0.411 0.432 0.458 0.483 0.558
 0.601 0.637 0.728 0.753 0.796 0.865 0.905 0.932 0.956]"
214,-0.566,[-0.688 -0.566 -0.048  0.032  0.598  0.656],6,[ 6.01450811 20.5826981  11.0931259  14.9579447  11.4372693  14.7102522 ],0.25,0.75,0.5,0.75,0.75,0.5,0.21700000000000003,[0.156 0.217 0.476 0.516 0.799 0.828]
215,0.732,"[-0.932 -0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.166 -0.084 -0.032
  0.116  0.202  0.276  0.456  0.508  0.586  0.732  0.81   0.864  0.906]",20,"[1.94683546 5.13321576 7.04205975 3.66551389 6.33537437 6.81262497
 1.98306479 5.71893041 4.5162065  3.77755861 6.18117733 4.09424367
 3.18478547 5.91043146 3.99877454 5.1779188  8.42651485 2.58008721
 4.22943614 2.58161642]",0.25,0.75,0.5,0.75,0.75,0.75,0.866,"[0.034 0.113 0.147 0.185 0.256 0.288 0.33  0.417 0.458 0.484 0.558 0.601
 0.638 0.728 0.754 0.793 0.866 0.905 0.932 0.953]"
216,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.164 -0.084 -0.032  0.12
  0.202  0.274  0.456  0.51   0.586  0.732  0.81   0.864]",18,"[5.15314628 7.00897412 3.68512799 6.25626964 6.83430154 2.00581287
 5.71561488 4.57045614 3.7818939  6.25216332 4.14523142 3.18303497
 5.94241862 4.05778689 5.16927478 8.39430716 2.56176523 4.21417109]",0.25,0.75,0.75,0.25,0.25,0.25,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.418 0.458 0.484 0.56  0.601 0.637
 0.728 0.755 0.793 0.866 0.905 0.932]"
217,-0.582,[-0.582 -0.046  0.032  0.6    0.66 ],5,[23.2287149 11.2159527 15.0684821 11.0627922 14.7552282],0.25,0.75,0.75,0.25,0.25,0.5,0.20900000000000002,[0.209 0.477 0.516 0.8   0.83 ]
218,0.73,"[-0.774 -0.704 -0.628 -0.488 -0.424 -0.34  -0.17  -0.084 -0.032  0.116
  0.2    0.272  0.456  0.506  0.586  0.73   0.81   0.864  0.91 ]",19,"[5.12441103 6.81990286 3.65028654 6.49979483 6.81307325 1.99685457
 5.78618434 4.45620834 3.81788128 6.18249104 4.09964776 3.13980784
 5.93737483 3.99048157 5.11388561 8.18599377 2.56045495 4.1968601
 2.50295748]",0.25,0.75,0.75,0.25,0.25,0.75,0.865,"[0.113 0.148 0.186 0.256 0.288 0.33  0.415 0.458 0.484 0.558 0.6   0.636
 0.728 0.753 0.793 0.865 0.905 0.932 0.955]"
219,0.73,"[-0.932 -0.774 -0.706 -0.632 -0.488 -0.424 -0.336 -0.29  -0.182 -0.098
 -0.088 -0.032  0.118  0.2    0.276  0.456  0.506  0.586  0.73   0.81
  0.864  0.908]",22,"[1.92646735 5.1438936  7.10354915 3.65796964 6.60509095 6.84005567
 2.05320933 2.51572322 3.00054786 4.84234339 4.84742211 3.92922114
 6.20975524 4.14882731 3.12802765 5.92998476 4.00386167 4.94223077
 8.08722191 2.58114581 4.19938538 2.45933878]",0.25,0.75,0.75,0.25,0.5,0.25,0.865,"[0.034 0.113 0.147 0.184 0.256 0.288 0.332 0.355 0.409 0.451 0.456 0.484
 0.559 0.6   0.638 0.728 0.753 0.793 0.865 0.905 0.932 0.954]"
220,-0.578,[-0.578 -0.046  0.032  0.6    0.65 ],5,[23.7377204 11.3380592 15.2617521 11.6478158 15.0520066],0.25,0.75,0.75,0.25,0.5,0.5,0.21100000000000002,[0.211 0.477 0.516 0.8   0.825]
221,0.73,"[-0.932 -0.774 -0.706 -0.632 -0.488 -0.424 -0.336 -0.29  -0.182 -0.098
 -0.088 -0.032  0.118  0.2    0.276  0.456  0.506  0.586  0.73   0.81
  0.864  0.908]",22,"[1.92646864 5.14389334 7.10354908 3.6579693  6.60509038 6.84005574
 2.05320919 2.51572422 3.00054506 4.84234394 4.84742214 3.92922253
 6.20975421 4.14882613 3.12802717 5.92998537 4.00386345 4.94223055
 8.08722224 2.58114704 4.19938425 2.45933982]",0.25,0.75,0.75,0.25,0.5,0.75,0.865,"[0.034 0.113 0.147 0.184 0.256 0.288 0.332 0.355 0.409 0.451 0.456 0.484
 0.559 0.6   0.638 0.728 0.753 0.793 0.865 0.905 0.932 0.954]"
222,0.73,"[-0.774 -0.704 -0.628 -0.488 -0.424 -0.34  -0.17  -0.084 -0.032  0.116
  0.2    0.272  0.456  0.506  0.586  0.73   0.81   0.864  0.91 ]",19,"[5.12441175 6.81990197 3.6502852  6.49979466 6.81307323 1.99685467
 5.78618417 4.45620865 3.8178815  6.18249054 4.09964798 3.13980776
 5.93737617 3.99048112 5.11388602 8.18599315 2.56045422 4.19686002
 2.50295726]",0.25,0.75,0.75,0.25,0.75,0.25,0.865,"[0.113 0.148 0.186 0.256 0.288 0.33  0.415 0.458 0.484 0.558 0.6   0.636
 0.728 0.753 0.793 0.865 0.905 0.932 0.955]"
223,-0.582,[-0.582 -0.046  0.032  0.6    0.66 ],5,[23.2287109 11.2159538 15.0684807 11.0627879 14.7552307],0.25,0.75,0.75,0.25,0.75,0.5,0.20900000000000002,[0.209 0.477 0.516 0.8   0.83 ]
224,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.164 -0.084 -0.032  0.12
  0.202  0.274  0.456  0.51   0.586  0.732  0.81   0.864]",18,"[5.15274412 7.00930708 3.68412225 6.25668173 6.83480764 2.00638528
 5.7158708  4.56998716 3.78120574 6.24883529 4.14539825 3.18395643
 5.94272662 4.0570348  5.16893511 8.40000875 2.56088073 4.2127765 ]",0.25,0.75,0.75,0.25,0.75,0.75,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.418 0.458 0.484 0.56  0.601 0.637
 0.728 0.755 0.793 0.866 0.905 0.932]"
225,0.176,[-0.134  0.176  0.46   0.808  0.848],5,[12.0865098 24.996874  24.8180475 15.4952102 12.6412872],0.25,0.75,0.75,0.5,0.25,0.25,0.588,[0.433 0.588 0.73  0.904 0.924]
226,0.926,[-0.83   0.926],2,[15.8712934 53.0157886],0.25,0.75,0.75,0.5,0.25,0.5,0.9630000000000001,[0.085 0.963]
227,0.468,[-0.128  0.182  0.468  0.81   0.854],5,[13.5965577 27.2160819 27.446935  14.772695  13.674902 ],0.25,0.75,0.75,0.5,0.25,0.75,0.734,[0.436 0.591 0.734 0.905 0.927]
228,0.466,[-0.13   0.184  0.466  0.81   0.854],5,[13.3947728 26.3342036 27.568002  14.8071388 13.6845262],0.25,0.75,0.75,0.5,0.5,0.25,0.733,[0.435 0.592 0.733 0.905 0.927]
229,0.924,[-0.828  0.924],2,[15.3699637 58.0573989],0.25,0.75,0.75,0.5,0.5,0.5,0.962,[0.086 0.962]
230,0.466,[-0.13   0.184  0.466  0.81   0.854],5,[13.3947571 26.333978  27.5684056 14.8069598 13.6843121],0.25,0.75,0.75,0.5,0.5,0.75,0.733,[0.435 0.592 0.733 0.905 0.927]
231,0.468,[-0.128  0.182  0.468  0.81   0.854],5,[13.596562  27.2160912 27.4469199 14.7727093 13.6749118],0.25,0.75,0.75,0.5,0.75,0.25,0.734,[0.436 0.591 0.734 0.905 0.927]
232,0.926,[-0.83   0.926],2,[15.8711901 53.0158954],0.25,0.75,0.75,0.5,0.75,0.5,0.9630000000000001,[0.085 0.963]
233,0.176,[-0.134  0.176  0.46   0.808  0.848],5,[12.0852509 24.9948167 24.818432  15.4966433 12.6401223],0.25,0.75,0.75,0.5,0.75,0.75,0.588,[0.433 0.588 0.73  0.904 0.924]
234,0.732,"[-0.93  -0.776 -0.702 -0.63  -0.49  -0.422 -0.344 -0.166 -0.084 -0.03
  0.116  0.202  0.27   0.454  0.508  0.582  0.732  0.814  0.86 ]",19,"[1.93372349 5.06857571 6.96166176 3.68190777 6.13920575 6.80926358
 2.04042683 5.72643629 4.43789091 3.79832022 6.17654387 4.09919392
 3.13222522 5.94011606 4.00860362 5.01280171 8.5441663  2.63820969
 4.1920623 ]",0.25,0.75,0.75,0.75,0.25,0.25,0.866,"[0.035 0.112 0.149 0.185 0.255 0.289 0.328 0.417 0.458 0.485 0.558 0.601
 0.635 0.727 0.754 0.791 0.866 0.907 0.93 ]"
235,-0.584,[-0.584 -0.042  0.034  0.598  0.656],5,[22.9623072 11.5883054 14.9528716 11.1566635 14.8825637],0.25,0.75,0.75,0.75,0.25,0.5,0.20800000000000002,[0.208 0.479 0.517 0.799 0.828]
236,0.728,"[-0.93  -0.774 -0.714 -0.628 -0.484 -0.424 -0.166 -0.084 -0.032  0.116
  0.202  0.272  0.456  0.504  0.578  0.728  0.814  0.864  0.908]",19,"[1.89313904 5.07539893 7.31449892 3.55745724 6.77039752 6.85244412
 5.69045914 4.62990045 3.82389122 6.16041897 4.14341885 3.16396062
 6.00767206 3.94892802 4.35707636 8.45737131 2.43327977 4.18589835
 2.69583612]",0.25,0.75,0.75,0.75,0.25,0.75,0.864,"[0.035 0.113 0.143 0.186 0.258 0.288 0.417 0.458 0.484 0.558 0.601 0.636
 0.728 0.752 0.789 0.864 0.907 0.932 0.954]"
237,0.73,"[-0.928 -0.774 -0.698 -0.638 -0.48  -0.424 -0.168 -0.084 -0.032  0.116
  0.202  0.274  0.456  0.508  0.584  0.73   0.808  0.868  0.91 ]",19,"[1.98888343 5.01986608 7.10555865 3.88224749 5.78571479 7.11483676
 5.67688872 4.72364678 3.8851732  6.12386644 4.12242292 3.13743502
 5.93313777 4.00516357 5.15179968 8.00799223 2.49567061 3.35266627
 2.63860453]",0.25,0.75,0.75,0.75,0.5,0.25,0.865,"[0.036 0.113 0.151 0.181 0.26  0.288 0.416 0.458 0.484 0.558 0.601 0.637
 0.728 0.754 0.792 0.865 0.904 0.934 0.955]"
238,-0.578,[-0.578 -0.044  0.034  0.6    0.656],5,[23.5121516 11.4100206 14.7753214 11.0828805 14.7899987],0.25,0.75,0.75,0.75,0.5,0.5,0.21100000000000002,[0.211 0.478 0.517 0.8   0.828]
239,0.73,"[-0.928 -0.776 -0.698 -0.638 -0.48  -0.424 -0.168 -0.084 -0.032  0.116
  0.202  0.274  0.456  0.508  0.584  0.73   0.808  0.868  0.91 ]",19,"[1.9880702  5.01995258 7.10564103 3.88395575 5.78490794 7.11184341
 5.68025932 4.72427758 3.88474011 6.12267557 4.12539087 3.13867266
 5.93119566 4.0051875  5.15311422 8.01016565 2.49548174 3.35216802
 2.63977204]",0.25,0.75,0.75,0.75,0.5,0.75,0.865,"[0.036 0.112 0.151 0.181 0.26  0.288 0.416 0.458 0.484 0.558 0.601 0.637
 0.728 0.754 0.792 0.865 0.904 0.934 0.955]"
240,0.728,"[-0.93  -0.774 -0.714 -0.628 -0.486 -0.424 -0.166 -0.084 -0.032  0.116
  0.202  0.272  0.456  0.504  0.578  0.728  0.812  0.864  0.908]",19,"[1.89850581 5.07802104 7.29682581 3.54986217 6.76267031 6.84551362
 5.69149434 4.62406939 3.82295301 6.16404864 4.13877885 3.16614858
 6.01423797 3.94787787 4.36073716 8.45732236 2.43611106 4.19592202
 2.69405438]",0.25,0.75,0.75,0.75,0.75,0.25,0.864,"[0.035 0.113 0.143 0.186 0.257 0.288 0.417 0.458 0.484 0.558 0.601 0.636
 0.728 0.752 0.789 0.864 0.906 0.932 0.954]"
241,-0.584,[-0.584 -0.042  0.034  0.598  0.656],5,[22.9552781 11.5825099 14.9545928 11.1671579 14.8756761],0.25,0.75,0.75,0.75,0.75,0.5,0.20800000000000002,[0.208 0.479 0.517 0.799 0.828]
242,0.732,"[-0.93  -0.776 -0.702 -0.63  -0.492 -0.422 -0.344 -0.166 -0.084 -0.03
  0.118  0.202  0.27   0.454  0.508  0.582  0.732  0.814  0.86 ]",19,"[1.93385233 5.07266034 6.95829932 3.67958991 6.14331467 6.80386052
 2.03865091 5.7313821  4.4386562  3.79679053 6.17875139 4.09744743
 3.13249905 5.94369205 4.00986871 5.02005563 8.54362525 2.63704049
 4.19280874]",0.25,0.75,0.75,0.75,0.75,0.75,0.866,"[0.035 0.112 0.149 0.185 0.254 0.289 0.328 0.417 0.458 0.485 0.559 0.601
 0.635 0.727 0.754 0.791 0.866 0.907 0.93 ]"
243,0.732,"[-0.932 -0.784 -0.7   -0.632 -0.502 -0.42  -0.166 -0.106 -0.084 -0.028
  0.118  0.202  0.256  0.454  0.51   0.57   0.732  0.852  0.892]",19,"[1.96343309 4.90935248 6.81695159 3.71175106 5.58161298 6.78388307
 5.78120326 3.78588847 4.17216496 3.75518938 6.25978299 4.09946298
 3.20990028 5.92152257 4.08737112 4.80201779 8.72921656 4.10873438
 2.63131703]",0.5,0.25,0.25,0.25,0.25,0.25,0.866,"[0.034 0.108 0.15  0.184 0.249 0.29  0.417 0.447 0.458 0.486 0.559 0.601
 0.628 0.727 0.755 0.785 0.866 0.926 0.946]"
244,-0.572,[-0.572 -0.052  0.036  0.6    0.658],5,[23.8518035 11.0501097 14.3304756 11.303219  15.146581 ],0.5,0.25,0.25,0.25,0.25,0.5,0.21400000000000002,[0.214 0.474 0.518 0.8   0.829]
245,-0.706,"[-0.922 -0.778 -0.706 -0.628 -0.49  -0.42  -0.342 -0.176 -0.086 -0.03
  0.118  0.196  0.266  0.454  0.508  0.578  0.742  0.86 ]",18,"[2.03676631 5.12863803 7.24199526 3.55702207 6.22506845 7.09485628
 1.99915996 4.03414506 4.57533441 3.98357208 6.18357012 4.04561794
 3.07474014 6.03582977 3.93019782 4.95081431 6.52957464 4.33454218]",0.5,0.25,0.25,0.25,0.25,0.75,0.14700000000000002,"[0.039 0.111 0.147 0.186 0.255 0.29  0.329 0.412 0.457 0.485 0.559 0.598
 0.633 0.727 0.754 0.789 0.871 0.93 ]"
246,0.728,"[-0.92  -0.776 -0.704 -0.626 -0.484 -0.424 -0.342 -0.164 -0.084 -0.032
  0.116  0.2    0.274  0.454  0.504  0.582  0.728  0.868  0.906]",19,"[1.80913477 5.19457172 5.34786003 3.8810512  6.7289873  6.89660667
 2.04364821 5.75073772 4.64535598 3.82355025 6.12389197 4.07464955
 3.12336499 6.07448852 3.93490158 4.87271639 8.59850883 4.18475057
 2.97208737]",0.5,0.25,0.25,0.25,0.5,0.25,0.864,"[0.04  0.112 0.148 0.187 0.258 0.288 0.329 0.418 0.458 0.484 0.558 0.6
 0.637 0.727 0.752 0.791 0.864 0.934 0.953]"
247,-0.588,[-0.588 -0.042  0.036  0.6    0.654],5,[22.6637268 11.5336973 14.5383103 11.0336992 14.8845661],0.5,0.25,0.25,0.25,0.5,0.5,0.20600000000000002,[0.206 0.479 0.518 0.8   0.827]
248,0.728,"[-0.92  -0.776 -0.704 -0.626 -0.484 -0.424 -0.342 -0.164 -0.084 -0.032
  0.118  0.2    0.274  0.454  0.506  0.58   0.728  0.868  0.906]",19,"[1.80471061 5.19856451 5.33910128 3.87259149 6.74250805 6.88397443
 2.0428617  5.74463704 4.63416217 3.81768654 6.12398612 4.06731763
 3.12581702 6.07032912 3.93906617 4.87662891 8.58690456 4.18243071
 2.97345199]",0.5,0.25,0.25,0.25,0.5,0.75,0.864,"[0.04  0.112 0.148 0.187 0.258 0.288 0.329 0.418 0.458 0.484 0.559 0.6
 0.637 0.727 0.753 0.79  0.864 0.934 0.953]"
249,-0.706,"[-0.92  -0.78  -0.706 -0.628 -0.492 -0.42  -0.342 -0.176 -0.094 -0.028
  0.118  0.194  0.266  0.454  0.506  0.576  0.742  0.86   0.904]",19,"[2.07265255 5.3456509  7.26193111 3.53652698 6.36641368 7.14571284
 2.02414378 4.10930367 4.48945868 3.98754042 6.10739867 3.97793267
 3.13367759 5.97598338 3.86862732 5.00450466 6.64327702 4.37678357
 2.71575661]",0.5,0.25,0.25,0.25,0.75,0.25,0.14700000000000002,"[0.04  0.11  0.147 0.186 0.254 0.29  0.329 0.412 0.453 0.486 0.559 0.597
 0.633 0.727 0.753 0.788 0.871 0.93  0.952]"
250,-0.572,[-0.572 -0.052  0.036  0.6    0.658],5,[23.8501117 11.0543101 14.2906614 11.2980085 15.1311193],0.5,0.25,0.25,0.25,0.75,0.5,0.21400000000000002,[0.214 0.474 0.518 0.8   0.829]
251,0.732,"[-0.932 -0.784 -0.7   -0.632 -0.502 -0.42  -0.166 -0.106 -0.082 -0.028
  0.118  0.202  0.256  0.454  0.51   0.572  0.732  0.852  0.892]",19,"[1.9635026  4.90976336 6.81712051 3.7119696  5.58152704 6.78192269
 5.78141884 3.786255   4.17153461 3.75485069 6.25993359 4.10026809
 3.20897337 5.92216942 4.08795196 4.80250248 8.72959769 4.10830362
 2.63098481]",0.5,0.25,0.25,0.25,0.75,0.75,0.866,"[0.034 0.108 0.15  0.184 0.249 0.29  0.417 0.447 0.459 0.486 0.559 0.601
 0.628 0.727 0.755 0.786 0.866 0.926 0.946]"
252,0.184,[-0.124  0.184  0.466  0.808  0.858],5,[13.5185266 28.4098176 28.0735083 14.0909698 13.2767094],0.5,0.25,0.25,0.5,0.25,0.25,0.592,[0.438 0.592 0.733 0.904 0.929]
253,0.924,[-0.836  0.924],2,[15.3173142 56.5334832],0.5,0.25,0.25,0.5,0.25,0.5,0.962,[0.082 0.962]
254,0.464,[-0.126  0.182  0.464  0.808  0.854],5,[13.6176734 25.1258915 27.3208858 14.6491399 13.6566018],0.5,0.25,0.25,0.5,0.25,0.75,0.732,[0.437 0.591 0.732 0.904 0.927]
255,0.18,[-0.126  0.18   0.466  0.81   0.854],5,[13.3843196 26.8625336 24.1875107 14.6751755 13.5230143],0.5,0.25,0.25,0.5,0.5,0.25,0.59,[0.437 0.59  0.733 0.905 0.927]
256,0.928,[-0.84   0.928],2,[14.3526755 54.8020836],0.5,0.25,0.25,0.5,0.5,0.5,0.964,[0.08  0.964]
257,0.18,[-0.126  0.18   0.466  0.81   0.854],5,[13.3843196 26.8625336 24.1875107 14.6751755 13.5230143],0.5,0.25,0.25,0.5,0.5,0.75,0.59,[0.437 0.59  0.733 0.905 0.927]
258,0.464,[-0.126  0.182  0.464  0.808  0.854],5,[13.6176659 25.1259006 27.3209803 14.6490432 13.6567362],0.5,0.25,0.25,0.5,0.75,0.25,0.732,[0.437 0.591 0.732 0.904 0.927]
259,0.924,[-0.836  0.924],2,[15.3328789 56.5063288],0.5,0.25,0.25,0.5,0.75,0.5,0.962,[0.082 0.962]
260,0.184,[-0.122  0.184  0.466  0.808  0.858],5,[13.434686  28.8072187 28.2417161 14.1696724 13.1302535],0.5,0.25,0.25,0.5,0.75,0.75,0.592,[0.439 0.592 0.733 0.904 0.929]
261,0.732,"[-0.926 -0.774 -0.706 -0.632 -0.488 -0.426 -0.342 -0.17  -0.096 -0.072
 -0.034  0.114  0.214  0.274  0.456  0.502  0.584  0.732  0.864]",19,"[1.83187693 5.10968731 7.21234424 3.59694447 6.52180077 6.84453617
 2.09446796 5.71851479 3.5397902  3.84199973 4.0861447  6.13082175
 3.60640528 3.31752214 6.00554265 3.84320759 4.79828601 8.61781219
 4.29533706]",0.5,0.25,0.25,0.75,0.25,0.25,0.866,"[0.037 0.113 0.147 0.184 0.256 0.287 0.329 0.415 0.452 0.464 0.483 0.557
 0.607 0.637 0.728 0.751 0.792 0.866 0.932]"
262,-0.572,[-0.572 -0.046  0.034  0.596  0.658],5,[23.6256443 11.4484046 14.9349662 11.2854114 12.6494158],0.5,0.25,0.25,0.75,0.25,0.5,0.21400000000000002,[0.214 0.477 0.517 0.798 0.829]
