,main_maximum,all_maxima,no_of_max,Intensity,k6a1,k6a2,k11,k12,k9a1,k9a2,Energy_highest_max_normalized,Energy_all_max_normalized
15,0.466,[-0.126  0.18   0.466  0.806  0.854],5,[13.9923655 26.4825345 27.3813217 13.6057353 13.6821585],0.25,0.25,0.25,0.5,0.75,0.25,0.733,[0.437 0.59  0.733 0.903 0.927]
16,0.922,[-0.832  0.922],2,[15.8215918 57.5723517],0.25,0.25,0.25,0.5,0.75,0.5,0.9610000000000001,[0.084 0.961]
17,0.51,"[-0.268 -0.242 -0.14  -0.074  0.006  0.068  0.168  0.23   0.348  0.448
  0.51   0.696  0.744  0.796  0.85   0.898  0.974]",17,"[ 3.15693817  3.45019417  6.12723532  7.89284764  3.80384931  6.87401939
 11.2965206  12.9790161   7.05340602 11.8616518  13.4864909   3.42300522
  4.02549167  6.41536518  9.81736946  7.14114745  3.77726114]",0.25,0.25,0.25,0.5,0.75,0.75,0.755,"[0.366 0.379 0.43  0.463 0.503 0.534 0.584 0.615 0.674 0.724 0.755 0.848
 0.872 0.898 0.925 0.949 0.987]"
18,0.736,"[-0.772 -0.706 -0.612 -0.486 -0.424 -0.34  -0.17  -0.084 -0.032  0.042
  0.114  0.202  0.272  0.454  0.502  0.586  0.736  0.864]",18,"[5.06947509 7.00535846 3.49844289 6.47434241 6.76074942 2.03398383
 5.75567288 4.41428258 3.95025867 2.04012355 6.1148743  3.89231865
 3.42550637 5.82163929 3.85620277 5.16823885 8.66994812 4.15344095]",0.25,0.25,0.25,0.75,0.25,0.25,0.868,"[0.114 0.147 0.194 0.257 0.288 0.33  0.415 0.458 0.484 0.521 0.557 0.601
 0.636 0.727 0.751 0.793 0.868 0.932]"
19,-0.576,[-0.576 -0.044  0.04   0.614  0.662],5,[24.9150192  11.4908905  13.6687683   9.48973352 14.4262597 ],0.25,0.25,0.25,0.75,0.25,0.5,0.21200000000000002,[0.212 0.478 0.52  0.807 0.831]
20,0.728,"[-0.928 -0.774 -0.704 -0.63  -0.488 -0.424 -0.342 -0.168 -0.076 -0.034
  0.112  0.202  0.282  0.454  0.512  0.586  0.728  0.816  0.864]",19,"[1.92498009 5.01361007 6.90107155 3.86160803 6.35178845 6.83832664
 2.01306241 5.73740935 5.16814521 4.06293267 6.05912781 4.18704998
 3.0675238  5.91485173 4.16429234 5.0549574  8.61381872 2.53701201
 4.06687695]",0.25,0.25,0.25,0.75,0.25,0.75,0.864,"[0.036 0.113 0.148 0.185 0.256 0.288 0.329 0.416 0.462 0.483 0.556 0.601
 0.641 0.727 0.756 0.793 0.864 0.908 0.932]"
21,0.728,"[-0.926 -0.774 -0.704 -0.628 -0.488 -0.424 -0.342 -0.17  -0.082 -0.032
  0.112  0.204  0.274  0.454  0.522  0.586  0.728  0.816  0.862  0.908]",20,"[2.01674415 5.12725495 7.07334451 3.67646546 6.51216122 6.74148304
 2.07357804 5.77013804 4.45613425 3.87884177 6.04372365 4.13903115
 3.16646571 6.00655418 3.95587694 5.15956215 8.32188778 2.57374083
 4.21769831 2.49471886]",0.25,0.25,0.25,0.75,0.5,0.25,0.864,"[0.037 0.113 0.148 0.186 0.256 0.288 0.329 0.415 0.459 0.484 0.556 0.602
 0.637 0.727 0.761 0.793 0.864 0.908 0.931 0.954]"
22,-0.558,[-0.558 -0.046  0.034  0.594  0.658],5,[23.082491  10.6488905 16.856449  11.9087951 14.2487585],0.25,0.25,0.25,0.75,0.5,0.5,0.22099999999999997,[0.221 0.477 0.517 0.797 0.829]
23,0.728,"[-0.926 -0.774 -0.704 -0.628 -0.488 -0.424 -0.342 -0.17  -0.082 -0.032
  0.112  0.204  0.274  0.454  0.522  0.586  0.728  0.816  0.862  0.908]",20,"[2.01679133 5.12775255 7.07307102 3.67648229 6.5122465  6.74136181
 2.07367285 5.76950531 4.45545767 3.87870819 6.04334778 4.13821722
 3.1669496  6.00641681 3.95650618 5.16006398 8.32210831 2.57352144
 4.21779856 2.4943733 ]",0.25,0.25,0.25,0.75,0.5,0.75,0.864,"[0.037 0.113 0.148 0.186 0.256 0.288 0.329 0.415 0.459 0.484 0.556 0.602
 0.637 0.727 0.761 0.793 0.864 0.908 0.931 0.954]"
24,0.728,"[-0.93  -0.774 -0.704 -0.63  -0.488 -0.424 -0.344 -0.168 -0.076 -0.034
  0.112  0.204  0.282  0.454  0.512  0.586  0.728  0.818  0.864]",19,"[1.93332391 5.00145483 6.93061022 3.8550757  6.31556866 6.86166607
 1.99756668 5.73450672 5.16618895 4.05423652 6.06227667 4.18170992
 3.05698941 5.88681366 4.16146842 5.03581464 8.59208187 2.52879497
 4.07276369]",0.25,0.25,0.25,0.75,0.75,0.25,0.864,"[0.035 0.113 0.148 0.185 0.256 0.288 0.328 0.416 0.462 0.483 0.556 0.602
 0.641 0.727 0.756 0.793 0.864 0.909 0.932]"
25,-0.576,[-0.576 -0.044  0.04   0.614  0.662],5,[24.8768968  11.4704353  13.6584324   9.51208658 14.4496024 ],0.25,0.25,0.25,0.75,0.75,0.5,0.21200000000000002,[0.212 0.478 0.52  0.807 0.831]
26,0.736,"[-0.772 -0.706 -0.612 -0.488 -0.424 -0.34  -0.17  -0.082 -0.032  0.114
  0.202  0.27   0.454  0.502  0.586  0.736  0.864]",17,"[5.05761406 6.99203719 3.48579752 6.50959102 6.83764856 2.07124451
 5.75558269 4.50029827 3.94987598 6.16060051 3.9024263  3.38756934
 5.84166073 3.86856745 5.19085869 8.65442222 4.17241345]",0.25,0.25,0.25,0.75,0.75,0.75,0.868,"[0.114 0.147 0.194 0.256 0.288 0.33  0.415 0.459 0.484 0.557 0.601 0.635
 0.727 0.751 0.793 0.868 0.932]"
27,0.73,"[-0.922 -0.776 -0.702 -0.624 -0.49  -0.42  -0.172 -0.076 -0.03   0.112
  0.208  0.278  0.452  0.498  0.538  0.59   0.73   0.818  0.868]",19,"[2.30490799 5.28161077 6.99120829 3.36378093 6.81135218 6.69216427
 5.72079977 4.30837624 3.74442183 6.17095026 3.96069002 3.11620466
 5.84407982 3.86131318 3.29321617 5.23955443 8.31498046 2.81615158
 4.37254105]",0.25,0.25,0.5,0.25,0.25,0.25,0.865,"[0.039 0.112 0.149 0.188 0.255 0.29  0.414 0.462 0.485 0.556 0.604 0.639
 0.726 0.749 0.769 0.795 0.865 0.909 0.934]"
28,-0.574,[-0.574 -0.046  0.036  0.594  0.66 ],5,[23.9349899 10.7747462 14.5589483 11.2119826 14.4347442],0.25,0.25,0.5,0.25,0.25,0.5,0.21300000000000002,[0.213 0.477 0.518 0.797 0.83 ]
