,Energy,Intensity,k6a1,k6a2,k11,k12,k9a1,k9a2
77,0.867,0.01964916642628039,0.25,0.25,0.75,0.75,0.5,0.75
78,0.866,0.020151471933840502,0.25,0.25,0.75,0.75,0.75,0.25
79,0.21300000000000002,0.060490044621320245,0.25,0.25,0.75,0.75,0.75,0.5
80,0.874,0.020032285343018062,0.25,0.25,0.75,0.75,0.75,0.75
81,0.185,0.07626126361265395,0.25,0.5,0.25,0.25,0.25,0.25
82,0.28600000000000003,0.18994922507512912,0.25,0.5,0.25,0.25,0.25,0.5
83,0.181,0.07232833402679602,0.25,0.5,0.25,0.25,0.25,0.75
84,0.184,0.07446117722707318,0.25,0.5,0.25,0.25,0.5,0.25
85,0.28700000000000003,0.22316398162745862,0.25,0.5,0.25,0.25,0.5,0.5
86,0.184,0.07446114171106745,0.25,0.5,0.25,0.25,0.5,0.75
87,0.181,0.0723447467341073,0.25,0.5,0.25,0.25,0.75,0.25
88,0.28600000000000003,0.18994903227395507,0.25,0.5,0.25,0.25,0.75,0.5
89,0.185,0.07606339379722751,0.25,0.5,0.25,0.25,0.75,0.75
90,0.123,0.004089913476946919,0.25,0.5,0.25,0.5,0.25,0.25
91,0.731,0.9900737203448043,0.25,0.5,0.25,0.5,0.25,0.5
92,0.122,0.0017105970458481524,0.25,0.5,0.25,0.5,0.25,0.75
93,0.122,0.001644894842700765,0.25,0.5,0.25,0.5,0.5,0.25
94,0.731,0.9968924661929038,0.25,0.5,0.25,0.5,0.5,0.5
95,0.122,0.0016448948604587676,0.25,0.5,0.25,0.5,0.5,0.75
96,0.122,0.0017105977434839796,0.25,0.5,0.25,0.5,0.75,0.25
97,0.731,0.9900737228816618,0.25,0.5,0.25,0.5,0.75,0.5
98,0.123,0.004089936587719229,0.25,0.5,0.25,0.5,0.75,0.75
99,0.186,0.0752473866745839,0.25,0.5,0.25,0.75,0.25,0.25
100,0.28800000000000003,0.20093048205866987,0.25,0.5,0.25,0.75,0.25,0.5
101,0.185,0.07599984247129338,0.25,0.5,0.25,0.75,0.25,0.75
102,0.185,0.07607989630929617,0.25,0.5,0.25,0.75,0.5,0.25
103,0.28,0.16053299514180872,0.25,0.5,0.25,0.75,0.5,0.5
104,0.185,0.07607989630929617,0.25,0.5,0.25,0.75,0.5,0.75
105,0.185,0.07599983942706431,0.25,0.5,0.25,0.75,0.75,0.25
106,0.28800000000000003,0.2009304716575539,0.25,0.5,0.25,0.75,0.75,0.5
107,0.186,0.0752479082524968,0.25,0.5,0.25,0.75,0.75,0.75
108,0.186,0.07442046675180412,0.25,0.5,0.5,0.25,0.25,0.25
109,0.28400000000000003,0.1868446086542191,0.25,0.5,0.5,0.25,0.25,0.5
110,0.185,0.07630660131609988,0.25,0.5,0.5,0.25,0.25,0.75
111,0.185,0.07648537696578142,0.25,0.5,0.5,0.25,0.5,0.25
112,0.28600000000000003,0.19922989706109392,0.25,0.5,0.5,0.25,0.5,0.5
113,0.185,0.07648537696578142,0.25,0.5,0.5,0.25,0.5,0.75
114,0.185,0.07630660080872838,0.25,0.5,0.5,0.25,0.75,0.25
115,0.28400000000000003,0.18684460890790486,0.25,0.5,0.5,0.25,0.75,0.5
116,0.186,0.07442049161300814,0.25,0.5,0.5,0.25,0.75,0.75
117,0.119,0.0075875906578708645,0.25,0.5,0.5,0.5,0.25,0.25
118,0.73,0.9846319148182293,0.25,0.5,0.5,0.5,0.25,0.5
119,0.122,0.001709961070880736,0.25,0.5,0.5,0.5,0.25,0.75
120,0.122,0.0017359789677867062,0.25,0.5,0.5,0.5,0.5,0.25
121,0.731,0.9990972237237248,0.25,0.5,0.5,0.5,0.5,0.5
122,0.122,0.001736600698298962,0.25,0.5,0.5,0.5,0.5,0.75
123,0.122,0.0017103220403419663,0.25,0.5,0.5,0.5,0.75,0.25
124,0.73,0.9846259430555492,0.25,0.5,0.5,0.5,0.75,0.5
125,0.119,0.0074623734746417794,0.25,0.5,0.5,0.5,0.75,0.75
126,0.186,0.07442048856877909,0.25,0.5,0.5,0.75,0.25,0.25
127,0.28400000000000003,0.1868446086542191,0.25,0.5,0.5,0.75,0.25,0.5
128,0.185,0.07630660030135686,0.25,0.5,0.5,0.75,0.25,0.75
129,0.185,0.07648537696578142,0.25,0.5,0.5,0.75,0.5,0.25
130,0.28600000000000003,0.19923012994461728,0.25,0.5,0.5,0.75,0.5,0.5
131,0.185,0.07648537696578142,0.25,0.5,0.5,0.75,0.5,0.75
132,0.185,0.07630660156978564,0.25,0.5,0.5,0.75,0.75,0.25
133,0.28400000000000003,0.18684460890790486,0.25,0.5,0.5,0.75,0.75,0.5
134,0.186,0.0744204713181477,0.25,0.5,0.5,0.75,0.75,0.75
135,0.186,0.0752473559786075,0.25,0.5,0.75,0.25,0.25,0.25
136,0.28800000000000003,0.20093048687869922,0.25,0.5,0.75,0.25,0.25,0.5
137,0.185,0.07599983968075008,0.25,0.5,0.75,0.25,0.25,0.75
138,0.185,0.07607989656298193,0.25,0.5,0.75,0.25,0.5,0.25
139,0.28,0.1605337529011598,0.25,0.5,0.75,0.25,0.5,0.5
140,0.185,0.07607989630929617,0.25,0.5,0.75,0.25,0.5,0.75
141,0.185,0.07599984145655037,0.25,0.5,0.75,0.25,0.75,0.25
142,0.28800000000000003,0.2009304665838388,0.25,0.5,0.75,0.25,0.75,0.5
143,0.186,0.07524806858189417,0.25,0.5,0.75,0.25,0.75,0.75
144,0.123,0.004089928596617936,0.25,0.5,0.75,0.5,0.25,0.25
145,0.731,0.9900737228816618,0.25,0.5,0.75,0.5,0.25,0.5
146,0.122,0.0017105977003574009,0.25,0.5,0.75,0.5,0.25,0.75
147,0.122,0.0016448948604587676,0.25,0.5,0.75,0.5,0.5,0.25
148,0.731,0.9968896528178776,0.25,0.5,0.75,0.5,0.5,0.5
149,0.122,0.0016448948452376223,0.25,0.5,0.75,0.5,0.5,0.75
150,0.122,0.0017105971980596055,0.25,0.5,0.75,0.5,0.75,0.25
151,0.731,0.9900737152710892,0.25,0.5,0.75,0.5,0.75,0.5
152,0.123,0.004089974792793978,0.25,0.5,0.75,0.5,0.75,0.75
153,0.185,0.07596360270009013,0.25,0.5,0.75,0.75,0.25,0.25
154,0.28600000000000003,0.18995023575917827,0.25,0.5,0.75,0.75,0.25,0.5
155,0.181,0.0724103866548649,0.25,0.5,0.75,0.75,0.25,0.75
156,0.184,0.07446116606489996,0.25,0.5,0.75,0.75,0.5,0.25
157,0.28700000000000003,0.22327601864337632,0.25,0.5,0.75,0.75,0.5,0.5
158,0.184,0.07446113536892357,0.25,0.5,0.75,0.75,0.5,0.75
159,0.181,0.07232187265060828,0.25,0.5,0.75,0.75,0.75,0.25
160,0.28600000000000003,0.18994859999342806,0.25,0.5,0.75,0.75,0.75,0.5
161,0.185,0.07612888023810316,0.25,0.5,0.75,0.75,0.75,0.75
162,0.866,0.021684894863401524,0.25,0.75,0.25,0.25,0.25,0.25
163,0.20800000000000002,0.05824043392684612,0.25,0.75,0.25,0.25,0.25,0.5
164,0.864,0.02143311926035503,0.25,0.75,0.25,0.25,0.25,0.75
165,0.865,0.02031809720279719,0.25,0.75,0.25,0.25,0.5,0.25
166,0.21100000000000002,0.05969437827622309,0.25,0.75,0.25,0.25,0.5,0.5
167,0.865,0.02031346515459099,0.25,0.75,0.25,0.25,0.5,0.75
168,0.864,0.02139426363385448,0.25,0.75,0.25,0.25,0.75,0.25
169,0.20800000000000002,0.05823225256123739,0.25,0.75,0.25,0.25,0.75,0.5
170,0.866,0.02168197907543572,0.25,0.75,0.25,0.25,0.75,0.75
171,0.588,0.06340992073306984,0.25,0.75,0.25,0.5,0.25,0.25
172,0.9630000000000001,0.13449354281089565,0.25,0.75,0.25,0.5,0.25,0.5
173,0.734,0.0696288872436353,0.25,0.75,0.25,0.5,0.25,0.75
174,0.733,0.06993758982869898,0.25,0.75,0.25,0.5,0.5,0.25
175,0.962,0.14727045352881465,0.25,0.75,0.25,0.5,0.5,0.5
176,0.733,0.0699365350033284,0.25,0.75,0.25,0.5,0.5,0.75
177,0.734,0.06962883092539761,0.25,0.75,0.25,0.5,0.75,0.25
178,0.9630000000000001,0.13449392613007194,0.25,0.75,0.25,0.5,0.75,0.5
179,0.588,0.06340589220327553,0.25,0.75,0.25,0.5,0.75,0.75
180,0.866,0.021312158797257164,0.25,0.75,0.25,0.75,0.25,0.25
181,0.20900000000000002,0.058928002742119776,0.25,0.75,0.25,0.75,0.25,0.5
182,0.865,0.020766699845972916,0.25,0.75,0.25,0.75,0.25,0.75
183,0.865,0.02051613016353287,0.25,0.75,0.25,0.75,0.5,0.25
184,0.21100000000000002,0.060218586910422346,0.25,0.75,0.25,0.75,0.5,0.5
185,0.865,0.02051612379602041,0.25,0.75,0.25,0.75,0.5,0.75
186,0.865,0.020766706264222525,0.25,0.75,0.25,0.75,0.75,0.25
187,0.20900000000000002,0.05892794261859577,0.25,0.75,0.25,0.75,0.75,0.5
188,0.866,0.02131491549888581,0.25,0.75,0.25,0.75,0.75,0.75
189,0.866,0.02137780538995013,0.25,0.75,0.5,0.25,0.25,0.25
190,0.21700000000000003,0.05221537389915191,0.25,0.75,0.5,0.25,0.25,0.5
191,0.865,0.021110864858348434,0.25,0.75,0.5,0.25,0.25,0.75
192,0.866,0.020167095297924122,0.25,0.75,0.5,0.25,0.5,0.25
193,0.21100000000000002,0.0595064483760612,0.25,0.75,0.5,0.25,0.5,0.5
194,0.866,0.020167094968132643,0.25,0.75,0.5,0.25,0.5,0.75
195,0.865,0.0211108667609916,0.25,0.75,0.5,0.25,0.75,0.25
196,0.21700000000000003,0.05221537592863795,0.25,0.75,0.5,0.25,0.75,0.5
197,0.866,0.021377015006610888,0.25,0.75,0.5,0.25,0.75,0.75
198,0.734,0.0697763469089384,0.25,0.75,0.5,0.5,0.25,0.25
199,0.962,0.14685837856480588,0.25,0.75,0.5,0.5,0.25,0.5
200,0.733,0.06990513276579315,0.25,0.75,0.5,0.5,0.25,0.75
201,0.733,0.06982829870739675,0.25,0.75,0.5,0.5,0.5,0.25
202,0.962,0.14667402766327992,0.25,0.75,0.5,0.5,0.5,0.5
203,0.733,0.06981289820624917,0.25,0.75,0.5,0.5,0.5,0.75
204,0.733,0.0699010339650446,0.25,0.75,0.5,0.5,0.75,0.25
205,0.962,0.14684454355845433,0.25,0.75,0.5,0.5,0.75,0.5
206,0.734,0.069831560091467,0.25,0.75,0.5,0.5,0.75,0.75
207,0.866,0.021377091340654658,0.25,0.75,0.5,0.75,0.25,0.25
208,0.21700000000000003,0.05221537516758068,0.25,0.75,0.5,0.75,0.25,0.5
209,0.865,0.02111086805478895,0.25,0.75,0.5,0.75,0.25,0.75
210,0.866,0.020167095069606945,0.25,0.75,0.5,0.75,0.5,0.25
211,0.21100000000000002,0.059501335085977186,0.25,0.75,0.5,0.75,0.5,0.5
212,0.866,0.020167095297924122,0.25,0.75,0.5,0.75,0.5,0.75
213,0.865,0.02111086818163183,0.25,0.75,0.5,0.75,0.75,0.25
214,0.21700000000000003,0.05221537313809465,0.25,0.75,0.5,0.75,0.75,0.5
215,0.866,0.021376867843504233,0.25,0.75,0.5,0.75,0.75,0.75
216,0.866,0.021295161521859934,0.25,0.75,0.75,0.25,0.25,0.25
217,0.20900000000000002,0.05892794084279547,0.25,0.75,0.75,0.25,0.25,0.5
218,0.865,0.020766700125027248,0.25,0.75,0.75,0.25,0.25,0.75
219,0.865,0.020516129985952838,0.25,0.75,0.75,0.25,0.5,0.25
220,0.21100000000000002,0.06021921529003826,0.25,0.75,0.75,0.25,0.5,0.5
221,0.865,0.020516130823115826,0.25,0.75,0.75,0.25,0.5,0.75
222,0.865,0.020766698552175566,0.25,0.75,0.75,0.25,0.75,0.25
223,0.20900000000000002,0.05892793069536526,0.25,0.75,0.75,0.25,0.75,0.5
224,0.866,0.021309625643516093,0.25,0.75,0.75,0.25,0.75,0.75
225,0.588,0.06341350861070719,0.25,0.75,0.75,0.5,0.25,0.25
226,0.9630000000000001,0.13449350374328936,0.25,0.75,0.75,0.5,0.25,0.5
227,0.734,0.0696289643641049,0.25,0.75,0.75,0.5,0.25,0.75
228,0.733,0.06993609409748568,0.25,0.75,0.75,0.5,0.5,0.25
229,0.962,0.14728335091261457,0.25,0.75,0.75,0.5,0.5,0.5
230,0.733,0.06993711797319412,0.25,0.75,0.75,0.5,0.5,0.75
231,0.734,0.06962892605755584,0.25,0.75,0.75,0.5,0.75,0.25
232,0.9630000000000001,0.13449377467967602,0.25,0.75,0.75,0.5,0.75,0.5
233,0.588,0.06340828953366319,0.25,0.75,0.75,0.5,0.75,0.75
234,0.866,0.021675332813069513,0.25,0.75,0.75,0.75,0.25,0.25
235,0.20800000000000002,0.058252102456847345,0.25,0.75,0.75,0.75,0.25,0.5
236,0.864,0.021455146287117057,0.25,0.75,0.75,0.75,0.25,0.75
237,0.865,0.0203151355738154,0.25,0.75,0.75,0.75,0.5,0.25
238,0.21100000000000002,0.059646979376015284,0.25,0.75,0.75,0.75,0.5,0.5
239,0.865,0.02032064923075845,0.25,0.75,0.75,0.75,0.5,0.75
240,0.864,0.02145502210793983,0.25,0.75,0.75,0.75,0.75,0.25
241,0.20800000000000002,0.05823427063142088,0.25,0.75,0.75,0.75,0.75,0.5
242,0.866,0.02167396024629041,0.25,0.75,0.75,0.75,0.75,0.75
243,0.866,0.022144778962853023,0.5,0.25,0.25,0.25,0.25,0.25
244,0.21400000000000002,0.06050862786395394,0.5,0.25,0.25,0.25,0.25,0.5
245,0.14700000000000002,0.018371910374821693,0.5,0.25,0.25,0.25,0.25,0.75
246,0.864,0.021813192070754397,0.5,0.25,0.25,0.25,0.5,0.25
247,0.20600000000000002,0.05749464651390072,0.5,0.25,0.25,0.25,0.5,0.5
248,0.864,0.021783753690756726,0.5,0.25,0.25,0.25,0.5,0.75
249,0.14700000000000002,0.018422484786471596,0.5,0.25,0.25,0.25,0.75,0.25
250,0.21400000000000002,0.060504336008345615,0.5,0.25,0.25,0.25,0.75,0.5
251,0.866,0.022145745835372238,0.5,0.25,0.25,0.25,0.75,0.75
252,0.592,0.07207166036066033,0.5,0.25,0.25,0.5,0.25,0.25
253,0.962,0.14341739385878693,0.5,0.25,0.25,0.5,0.25,0.5
254,0.732,0.0693091954990231,0.5,0.25,0.25,0.5,0.25,0.75
255,0.59,0.06814642125847462,0.5,0.25,0.25,0.5,0.5,0.25
256,0.964,0.13902507970609826,0.5,0.25,0.25,0.5,0.5,0.5
257,0.59,0.06814642125847462,0.5,0.25,0.25,0.5,0.5,0.75
258,0.732,0.06930943523206189,0.5,0.25,0.25,0.5,0.75,0.25
259,0.962,0.14334850701404708,0.5,0.25,0.25,0.5,0.75,0.5
260,0.592,0.07307981034280427,0.5,0.25,0.25,0.5,0.75,0.75
261,0.866,0.021862161945370544,0.5,0.25,0.25,0.75,0.25,0.25
262,0.21400000000000002,0.05993489418923163,0.5,0.25,0.25,0.75,0.25,0.5
263,0.865,0.02095718357526494,0.5,0.25,0.25,0.75,0.25,0.75
264,0.865,0.020645216714113387,0.5,0.25,0.25,0.75,0.5,0.25
265,0.20700000000000002,0.05940421276298566,0.5,0.25,0.25,0.75,0.5,0.5
266,0.865,0.02064521658727051,0.5,0.25,0.25,0.75,0.5,0.75
267,0.865,0.020956994477902932,0.5,0.25,0.25,0.75,0.75,0.25
268,0.21400000000000002,0.059934890383945304,0.5,0.25,0.25,0.75,0.75,0.5
269,0.866,0.021988752228118816,0.5,0.25,0.25,0.75,0.75,0.75
270,0.866,0.021716860156470685,0.5,0.25,0.5,0.25,0.25,0.25
271,0.21300000000000002,0.05892939496954491,0.5,0.25,0.5,0.25,0.25,0.5
272,0.865,0.021139441493203893,0.5,0.25,0.5,0.25,0.25,0.75
273,0.865,0.02091311183984374,0.5,0.25,0.5,0.25,0.5,0.25
274,0.20400000000000001,0.05558085994859043,0.5,0.25,0.5,0.25,0.5,0.5
275,0.865,0.02091311183984374,0.5,0.25,0.5,0.25,0.5,0.75
276,0.865,0.02113944146783532,0.5,0.25,0.5,0.25,0.75,0.25
277,0.21300000000000002,0.05892939496954491,0.5,0.25,0.5,0.25,0.75,0.5
278,0.866,0.021719044086400997,0.5,0.25,0.5,0.25,0.75,0.75
279,0.735,0.07066690720135244,0.5,0.25,0.5,0.5,0.25,0.25
280,0.962,0.1531197745253184,0.5,0.25,0.5,0.5,0.25,0.5
281,0.736,0.07264383868801683,0.5,0.25,0.5,0.5,0.25,0.75
282,0.733,0.07033323787899419,0.5,0.25,0.5,0.5,0.5,0.25
283,0.9630000000000001,0.14576723985415596,0.5,0.25,0.5,0.5,0.5,0.5
284,0.733,0.07036694916427426,0.5,0.25,0.5,0.5,0.5,0.75
285,0.736,0.07299889042163286,0.5,0.25,0.5,0.5,0.75,0.25
286,0.962,0.1528872786337782,0.5,0.25,0.5,0.5,0.75,0.5
287,0.735,0.07066195474803726,0.5,0.25,0.5,0.5,0.75,0.75
288,0.866,0.021713769908810958,0.5,0.25,0.5,0.75,0.25,0.25
289,0.21300000000000002,0.05892939496954491,0.5,0.25,0.5,0.75,0.25,0.5
290,0.865,0.02113944146783532,0.5,0.25,0.5,0.75,0.25,0.75
291,0.865,0.02091311183984374,0.5,0.25,0.5,0.75,0.5,0.25
292,0.20400000000000001,0.05558925491760513,0.5,0.25,0.5,0.75,0.5,0.5
293,0.865,0.02091311183984374,0.5,0.25,0.5,0.75,0.5,0.75
294,0.865,0.021139441493203893,0.5,0.25,0.5,0.75,0.75,0.25
295,0.21300000000000002,0.05892939496954491,0.5,0.25,0.5,0.75,0.75,0.5
296,0.866,0.021714371144051038,0.5,0.25,0.5,0.75,0.75,0.75
297,0.866,0.021895111843593214,0.5,0.25,0.75,0.25,0.25,0.25
298,0.21400000000000002,0.05993488708603048,0.5,0.25,0.75,0.25,0.25,0.5
299,0.865,0.020957242202042994,0.5,0.25,0.75,0.25,0.25,0.75
300,0.865,0.02064521658727051,0.5,0.25,0.75,0.25,0.5,0.25
301,0.20700000000000002,0.05938834446530527,0.5,0.25,0.75,0.25,0.5,0.5
302,0.865,0.02064521663800766,0.5,0.25,0.75,0.25,0.5,0.75
303,0.865,0.020957173808363358,0.5,0.25,0.75,0.25,0.75,0.25
304,0.21400000000000002,0.059934897487146456,0.5,0.25,0.75,0.25,0.75,0.5
305,0.866,0.02188899177622067,0.5,0.25,0.75,0.25,0.75,0.75
306,0.592,0.07280367415920695,0.5,0.25,0.75,0.5,0.25,0.25
307,0.962,0.14339805463260236,0.5,0.25,0.75,0.5,0.25,0.5
308,0.732,0.06930946668909553,0.5,0.25,0.75,0.5,0.25,0.75
309,0.59,0.06814642125847462,0.5,0.25,0.75,0.5,0.5,0.25
310,0.964,0.13942966180763822,0.5,0.25,0.75,0.5,0.5,0.5
311,0.59,0.06814642125847462,0.5,0.25,0.75,0.5,0.5,0.75
312,0.732,0.06930877463435504,0.5,0.25,0.75,0.5,0.75,0.25
313,0.962,0.14334537932236988,0.5,0.25,0.75,0.5,0.75,0.5
314,0.592,0.0721445016589539,0.5,0.25,0.75,0.5,0.75,0.75
315,0.866,0.02213518761181628,0.5,0.25,0.75,0.75,0.25,0.25
316,0.21400000000000002,0.06057466860820493,0.5,0.25,0.75,0.75,0.25,0.5
317,0.14800000000000002,0.01829316837122819,0.5,0.25,0.75,0.75,0.25,0.75
318,0.864,0.02180383096490917,0.5,0.25,0.75,0.75,0.5,0.25
319,0.20600000000000002,0.05749913979599875,0.5,0.25,0.75,0.75,0.5,0.5
320,0.864,0.02179024226205743,0.5,0.25,0.75,0.75,0.5,0.75
321,0.14700000000000002,0.018636643941826497,0.5,0.25,0.75,0.75,0.75,0.25
322,0.21400000000000002,0.06054174806142415,0.5,0.25,0.75,0.75,0.75,0.5
323,0.866,0.022143280314253534,0.5,0.25,0.75,0.75,0.75,0.75
324,0.194,0.0682217504529705,0.5,0.5,0.25,0.25,0.25,0.25
325,0.28700000000000003,0.18331431387804337,0.5,0.5,0.25,0.25,0.25,0.5
326,0.184,0.07739010992028734,0.5,0.5,0.25,0.25,0.25,0.75
327,0.183,0.07324571346988988,0.5,0.5,0.25,0.25,0.5,0.25
328,0.29400000000000004,0.17181388011725993,0.5,0.5,0.25,0.25,0.5,0.5
329,0.183,0.07317176863856073,0.5,0.5,0.25,0.25,0.5,0.75
330,0.184,0.0754731766368682,0.5,0.5,0.25,0.25,0.75,0.25
331,0.28600000000000003,0.17273088512017895,0.5,0.5,0.25,0.25,0.75,0.5
332,0.194,0.06808398614986383,0.5,0.5,0.25,0.25,0.75,0.75
333,0.09499999999999997,0.0009516280119719686,0.5,0.5,0.25,0.5,0.25,0.25
334,0.731,0.9974296610009176,0.5,0.5,0.25,0.5,0.25,0.5
335,0.122,0.0016041572991615982,0.5,0.5,0.25,0.5,0.25,0.75
336,0.121,0.0017389796669116688,0.5,0.5,0.25,0.5,0.5,0.25
337,0.755,0.47831190882292446,0.5,0.5,0.25,0.5,0.5,0.5
338,0.121,0.001738974506943406,0.5,0.5,0.25,0.5,0.5,0.75
339,0.122,0.0016048797150132786,0.5,0.5,0.25,0.5,0.75,0.25
340,0.731,0.9974332988546486,0.5,0.5,0.25,0.5,0.75,0.5
341,0.09399999999999997,0.0009568080112622067,0.5,0.5,0.25,0.5,0.75,0.75
342,0.184,0.07382518805325486,0.5,0.5,0.25,0.75,0.25,0.25
