,main_maximum,all_maxima,no_of_max,k6a1,k6a2,k11,k12,k9a1,k9a2,Energy_highest_max_normalized,Energy_all_max_normalized
22,-0.558,[-0.558 -0.046  0.034  0.594  0.658],5,0.25,0.25,0.25,0.75,0.5,0.5,0.22099999999999997,[0.221 0.477 0.517 0.797 0.829]
23,0.728,"[-0.926 -0.774 -0.704 -0.628 -0.488 -0.424 -0.342 -0.17  -0.082 -0.032
  0.112  0.204  0.274  0.454  0.522  0.586  0.728  0.816  0.862  0.908]",20,0.25,0.25,0.25,0.75,0.5,0.75,0.864,"[0.037 0.113 0.148 0.186 0.256 0.288 0.329 0.415 0.459 0.484 0.556 0.602
 0.637 0.727 0.761 0.793 0.864 0.908 0.931 0.954]"
24,0.728,"[-0.93  -0.774 -0.704 -0.63  -0.488 -0.424 -0.344 -0.168 -0.076 -0.034
  0.112  0.204  0.282  0.454  0.512  0.586  0.728  0.818  0.864]",19,0.25,0.25,0.25,0.75,0.75,0.25,0.864,"[0.035 0.113 0.148 0.185 0.256 0.288 0.328 0.416 0.462 0.483 0.556 0.602
 0.641 0.727 0.756 0.793 0.864 0.909 0.932]"
25,-0.576,[-0.576 -0.044  0.04   0.614  0.662],5,0.25,0.25,0.25,0.75,0.75,0.5,0.21200000000000002,[0.212 0.478 0.52  0.807 0.831]
26,0.736,"[-0.772 -0.706 -0.612 -0.488 -0.424 -0.34  -0.17  -0.082 -0.032  0.114
  0.202  0.27   0.454  0.502  0.586  0.736  0.864]",17,0.25,0.25,0.25,0.75,0.75,0.75,0.868,"[0.114 0.147 0.194 0.256 0.288 0.33  0.415 0.459 0.484 0.557 0.601 0.635
 0.727 0.751 0.793 0.868 0.932]"
27,0.73,"[-0.922 -0.776 -0.702 -0.624 -0.49  -0.42  -0.172 -0.076 -0.03   0.112
  0.208  0.278  0.452  0.498  0.538  0.59   0.73   0.818  0.868]",19,0.25,0.25,0.5,0.25,0.25,0.25,0.865,"[0.039 0.112 0.149 0.188 0.255 0.29  0.414 0.462 0.485 0.556 0.604 0.639
 0.726 0.749 0.769 0.795 0.865 0.909 0.934]"
28,-0.574,[-0.574 -0.046  0.036  0.594  0.66 ],5,0.25,0.25,0.5,0.25,0.25,0.5,0.21300000000000002,[0.213 0.477 0.518 0.797 0.83 ]
29,0.736,"[-0.932 -0.772 -0.736 -0.628 -0.492 -0.424 -0.338 -0.17  -0.106 -0.03
  0.122  0.204  0.272  0.454  0.508  0.588  0.736  0.81   0.864  0.906]",20,0.25,0.25,0.5,0.25,0.25,0.75,0.868,"[0.034 0.114 0.132 0.186 0.254 0.288 0.331 0.415 0.447 0.485 0.561 0.602
 0.636 0.727 0.754 0.794 0.868 0.905 0.932 0.953]"
30,-0.702,"[-0.932 -0.774 -0.702 -0.628 -0.488 -0.424 -0.342 -0.17  -0.076 -0.034
  0.042  0.134  0.206  0.278  0.454  0.51   0.588  0.67   0.726  0.812
  0.864]",21,0.25,0.25,0.5,0.25,0.5,0.25,0.14900000000000002,"[0.034 0.113 0.149 0.186 0.256 0.288 0.329 0.415 0.462 0.483 0.521 0.567
 0.603 0.639 0.727 0.755 0.794 0.835 0.863 0.906 0.932]"
31,-0.57,[-0.57  -0.048  0.038  0.592  0.662],5,0.25,0.25,0.5,0.25,0.5,0.5,0.21500000000000002,[0.215 0.476 0.519 0.796 0.831]
32,-0.702,"[-0.932 -0.774 -0.702 -0.628 -0.488 -0.424 -0.342 -0.17  -0.076 -0.034
  0.042  0.134  0.206  0.278  0.454  0.51   0.588  0.67   0.726  0.812
  0.864]",21,0.25,0.25,0.5,0.25,0.5,0.75,0.14900000000000002,"[0.034 0.113 0.149 0.186 0.256 0.288 0.329 0.415 0.462 0.483 0.521 0.567
 0.603 0.639 0.727 0.755 0.794 0.835 0.863 0.906 0.932]"
33,0.736,"[-0.932 -0.772 -0.736 -0.628 -0.492 -0.424 -0.338 -0.17  -0.106 -0.03
  0.122  0.204  0.272  0.454  0.506  0.588  0.736  0.81   0.864  0.908]",20,0.25,0.25,0.5,0.25,0.75,0.25,0.868,"[0.034 0.114 0.132 0.186 0.254 0.288 0.331 0.415 0.447 0.485 0.561 0.602
 0.636 0.727 0.753 0.794 0.868 0.905 0.932 0.954]"
34,-0.574,[-0.574 -0.046  0.036  0.594  0.66 ],5,0.25,0.25,0.5,0.25,0.75,0.5,0.21300000000000002,[0.213 0.477 0.518 0.797 0.83 ]
35,0.73,"[-0.922 -0.776 -0.702 -0.624 -0.49  -0.42  -0.172 -0.076 -0.028  0.112
  0.208  0.278  0.452  0.498  0.538  0.59   0.73   0.818  0.868]",19,0.25,0.25,0.5,0.25,0.75,0.75,0.865,"[0.039 0.112 0.149 0.188 0.255 0.29  0.414 0.462 0.486 0.556 0.604 0.639
 0.726 0.749 0.769 0.795 0.865 0.909 0.934]"
36,0.2,[-0.108  0.2    0.48   0.828  0.87 ],5,0.25,0.25,0.5,0.5,0.25,0.25,0.6,[0.446 0.6   0.74  0.914 0.935]
37,0.922,[-0.83   0.922],2,0.25,0.25,0.5,0.5,0.25,0.5,0.9610000000000001,[0.085 0.961]
38,0.468,[-0.126  0.182  0.468  0.806  0.854],5,0.25,0.25,0.5,0.5,0.25,0.75,0.734,[0.437 0.591 0.734 0.903 0.927]
39,0.468,[-0.128  0.178  0.468  0.806  0.856],5,0.25,0.25,0.5,0.5,0.5,0.25,0.734,[0.436 0.589 0.734 0.903 0.928]
40,0.938,[-0.806  0.938],2,0.25,0.25,0.5,0.5,0.5,0.5,0.969,[0.097 0.969]
41,0.468,[-0.128  0.178  0.468  0.804  0.856],5,0.25,0.25,0.5,0.5,0.5,0.75,0.734,[0.436 0.589 0.734 0.902 0.928]
42,0.468,[-0.126  0.182  0.468  0.806  0.854],5,0.25,0.25,0.5,0.5,0.75,0.25,0.734,[0.437 0.591 0.734 0.903 0.927]
43,0.922,[-0.83   0.922],2,0.25,0.25,0.5,0.5,0.75,0.5,0.9610000000000001,[0.085 0.961]
44,0.2,[-0.108  0.2    0.48   0.828  0.87 ],5,0.25,0.25,0.5,0.5,0.75,0.75,0.6,[0.446 0.6   0.74  0.914 0.935]
45,0.73,"[-0.922 -0.776 -0.702 -0.624 -0.49  -0.42  -0.174 -0.076 -0.03   0.112
  0.208  0.278  0.452  0.498  0.538  0.59   0.73   0.818  0.868]",19,0.25,0.25,0.5,0.75,0.25,0.25,0.865,"[0.039 0.112 0.149 0.188 0.255 0.29  0.413 0.462 0.485 0.556 0.604 0.639
 0.726 0.749 0.769 0.795 0.865 0.909 0.934]"
46,-0.574,[-0.574 -0.046  0.036  0.594  0.66 ],5,0.25,0.25,0.5,0.75,0.25,0.5,0.21300000000000002,[0.213 0.477 0.518 0.797 0.83 ]
47,0.736,"[-0.772 -0.736 -0.628 -0.492 -0.424 -0.338 -0.17  -0.106 -0.03   0.122
  0.204  0.272  0.454  0.508  0.588  0.736  0.81   0.864  0.906]",19,0.25,0.25,0.5,0.75,0.25,0.75,0.868,"[0.114 0.132 0.186 0.254 0.288 0.331 0.415 0.447 0.485 0.561 0.602 0.636
 0.727 0.754 0.794 0.868 0.905 0.932 0.953]"
48,-0.702,"[-0.932 -0.774 -0.702 -0.628 -0.488 -0.424 -0.342 -0.17  -0.076 -0.034
  0.042  0.134  0.206  0.278  0.454  0.51   0.588  0.67   0.726  0.812
  0.864]",21,0.25,0.25,0.5,0.75,0.5,0.25,0.14900000000000002,"[0.034 0.113 0.149 0.186 0.256 0.288 0.329 0.415 0.462 0.483 0.521 0.567
 0.603 0.639 0.727 0.755 0.794 0.835 0.863 0.906 0.932]"
49,-0.57,[-0.57  -0.05   0.038  0.592  0.662],5,0.25,0.25,0.5,0.75,0.5,0.5,0.21500000000000002,[0.215 0.475 0.519 0.796 0.831]
50,-0.702,"[-0.932 -0.774 -0.702 -0.628 -0.488 -0.424 -0.342 -0.17  -0.076 -0.034
  0.042  0.134  0.206  0.278  0.454  0.51   0.588  0.67   0.726  0.812
  0.864]",21,0.25,0.25,0.5,0.75,0.5,0.75,0.14900000000000002,"[0.034 0.113 0.149 0.186 0.256 0.288 0.329 0.415 0.462 0.483 0.521 0.567
 0.603 0.639 0.727 0.755 0.794 0.835 0.863 0.906 0.932]"
51,0.736,"[-0.932 -0.772 -0.736 -0.628 -0.492 -0.424 -0.338 -0.17  -0.106 -0.03
  0.122  0.204  0.272  0.454  0.508  0.588  0.736  0.81   0.864  0.906]",20,0.25,0.25,0.5,0.75,0.75,0.25,0.868,"[0.034 0.114 0.132 0.186 0.254 0.288 0.331 0.415 0.447 0.485 0.561 0.602
 0.636 0.727 0.754 0.794 0.868 0.905 0.932 0.953]"
52,-0.574,[-0.574 -0.046  0.036  0.594  0.66 ],5,0.25,0.25,0.5,0.75,0.75,0.5,0.21300000000000002,[0.213 0.477 0.518 0.797 0.83 ]
53,0.73,"[-0.922 -0.776 -0.702 -0.624 -0.49  -0.42  -0.172 -0.076 -0.03   0.112
  0.208  0.278  0.452  0.498  0.538  0.59   0.73   0.818  0.868]",19,0.25,0.25,0.5,0.75,0.75,0.75,0.865,"[0.039 0.112 0.149 0.188 0.255 0.29  0.414 0.462 0.485 0.556 0.604 0.639
 0.726 0.749 0.769 0.795 0.865 0.909 0.934]"
54,0.736,"[-0.772 -0.706 -0.612 -0.488 -0.424 -0.342 -0.17  -0.084 -0.032  0.046
  0.114  0.202  0.272  0.454  0.502  0.586  0.736  0.864]",18,0.25,0.25,0.75,0.25,0.25,0.25,0.868,"[0.114 0.147 0.194 0.256 0.288 0.329 0.415 0.458 0.484 0.523 0.557 0.601
 0.636 0.727 0.751 0.793 0.868 0.932]"
55,-0.576,[-0.576 -0.044  0.04   0.614  0.662],5,0.25,0.25,0.75,0.25,0.25,0.5,0.21200000000000002,[0.212 0.478 0.52  0.807 0.831]
56,0.728,"[-0.93  -0.774 -0.704 -0.63  -0.488 -0.424 -0.342 -0.168 -0.076 -0.034
  0.112  0.204  0.282  0.454  0.512  0.586  0.728  0.816  0.864]",19,0.25,0.25,0.75,0.25,0.25,0.75,0.864,"[0.035 0.113 0.148 0.185 0.256 0.288 0.329 0.416 0.462 0.483 0.556 0.602
 0.641 0.727 0.756 0.793 0.864 0.908 0.932]"
