,main_maximum,all_maxima,no_of_max,k6a1,k6a2,k11,k12,k9a1,k9a2,Energy_highest_max_normalized,Energy_all_max_normalized
113,-0.63,[-0.938 -0.63  -0.348  0.042  0.804],5,0.25,0.5,0.5,0.25,0.5,0.75,0.185,[0.031 0.185 0.326 0.521 0.902]
114,-0.63,[-0.938 -0.63  -0.346  0.044  0.804],5,0.25,0.5,0.5,0.25,0.75,0.25,0.185,[0.031 0.185 0.327 0.522 0.902]
115,-0.432,[-0.432],1,0.25,0.5,0.5,0.25,0.75,0.5,0.28400000000000003,[0.284]
116,-0.628,[-0.936 -0.628 -0.346  0.046  0.802],5,0.25,0.5,0.5,0.25,0.75,0.75,0.186,[0.032 0.186 0.327 0.523 0.901]
117,-0.762,[-0.762],1,0.25,0.5,0.5,0.5,0.25,0.25,0.119,[0.119]
118,0.46,[0.46],1,0.25,0.5,0.5,0.5,0.25,0.5,0.73,[0.73]
119,-0.756,[-0.756],1,0.25,0.5,0.5,0.5,0.25,0.75,0.122,[0.122]
120,-0.756,[-0.756],1,0.25,0.5,0.5,0.5,0.5,0.25,0.122,[0.122]
121,0.462,[0.462],1,0.25,0.5,0.5,0.5,0.5,0.5,0.731,[0.731]
122,-0.756,[-0.756],1,0.25,0.5,0.5,0.5,0.5,0.75,0.122,[0.122]
123,-0.756,[-0.756],1,0.25,0.5,0.5,0.5,0.75,0.25,0.122,[0.122]
124,0.46,[0.46],1,0.25,0.5,0.5,0.5,0.75,0.5,0.73,[0.73]
125,-0.762,[-0.762],1,0.25,0.5,0.5,0.5,0.75,0.75,0.119,[0.119]
126,-0.628,[-0.936 -0.628 -0.346  0.046  0.802],5,0.25,0.5,0.5,0.75,0.25,0.25,0.186,[0.032 0.186 0.327 0.523 0.901]
127,-0.432,[-0.432],1,0.25,0.5,0.5,0.75,0.25,0.5,0.28400000000000003,[0.284]
128,-0.63,[-0.938 -0.63  -0.346  0.044  0.804],5,0.25,0.5,0.5,0.75,0.25,0.75,0.185,[0.031 0.185 0.327 0.522 0.902]
129,-0.63,[-0.938 -0.63  -0.348  0.042  0.804],5,0.25,0.5,0.5,0.75,0.5,0.25,0.185,[0.031 0.185 0.326 0.521 0.902]
130,-0.428,[-0.428],1,0.25,0.5,0.5,0.75,0.5,0.5,0.28600000000000003,[0.286]
131,-0.63,[-0.938 -0.63  -0.348  0.042  0.804],5,0.25,0.5,0.5,0.75,0.5,0.75,0.185,[0.031 0.185 0.326 0.521 0.902]
132,-0.63,[-0.938 -0.63  -0.346  0.044  0.804],5,0.25,0.5,0.5,0.75,0.75,0.25,0.185,[0.031 0.185 0.327 0.522 0.902]
133,-0.432,[-0.432],1,0.25,0.5,0.5,0.75,0.75,0.5,0.28400000000000003,[0.284]
134,-0.628,[-0.936 -0.628 -0.346  0.046  0.802],5,0.25,0.5,0.5,0.75,0.75,0.75,0.186,[0.032 0.186 0.327 0.523 0.901]
135,-0.628,[-0.934 -0.628 -0.346  0.05   0.802],5,0.25,0.5,0.75,0.25,0.25,0.25,0.186,[0.033 0.186 0.327 0.525 0.901]
136,-0.424,[-0.424],1,0.25,0.5,0.75,0.25,0.25,0.5,0.28800000000000003,[0.288]
137,-0.63,[-0.938 -0.63  -0.35   0.042  0.804],5,0.25,0.5,0.75,0.25,0.25,0.75,0.185,[0.031 0.185 0.325 0.521 0.902]
138,-0.63,[-0.938 -0.63  -0.358  0.044  0.804],5,0.25,0.5,0.75,0.25,0.5,0.25,0.185,[0.031 0.185 0.321 0.522 0.902]
139,-0.44,[-0.44],1,0.25,0.5,0.75,0.25,0.5,0.5,0.28,[0.28]
140,-0.63,[-0.938 -0.63  -0.358  0.044  0.804],5,0.25,0.5,0.75,0.25,0.5,0.75,0.185,[0.031 0.185 0.321 0.522 0.902]
141,-0.63,[-0.938 -0.63  -0.35   0.042  0.804],5,0.25,0.5,0.75,0.25,0.75,0.25,0.185,[0.031 0.185 0.325 0.521 0.902]
142,-0.424,[-0.424],1,0.25,0.5,0.75,0.25,0.75,0.5,0.28800000000000003,[0.288]
143,-0.628,[-0.934 -0.628 -0.346  0.05   0.802],5,0.25,0.5,0.75,0.25,0.75,0.75,0.186,[0.033 0.186 0.327 0.525 0.901]
144,-0.754,[-0.754 -0.69 ],2,0.25,0.5,0.75,0.5,0.25,0.25,0.123,[0.123 0.155]
145,0.462,[0.462],1,0.25,0.5,0.75,0.5,0.25,0.5,0.731,[0.731]
146,-0.756,[-0.756],1,0.25,0.5,0.75,0.5,0.25,0.75,0.122,[0.122]
147,-0.756,[-0.756],1,0.25,0.5,0.75,0.5,0.5,0.25,0.122,[0.122]
148,0.462,[0.462],1,0.25,0.5,0.75,0.5,0.5,0.5,0.731,[0.731]
149,-0.756,[-0.756],1,0.25,0.5,0.75,0.5,0.5,0.75,0.122,[0.122]
150,-0.756,[-0.756],1,0.25,0.5,0.75,0.5,0.75,0.25,0.122,[0.122]
151,0.462,[0.462],1,0.25,0.5,0.75,0.5,0.75,0.5,0.731,[0.731]
152,-0.754,[-0.754 -0.69 ],2,0.25,0.5,0.75,0.5,0.75,0.75,0.123,[0.123 0.155]
153,-0.63,[-0.94  -0.63  -0.348  0.044  0.8  ],5,0.25,0.5,0.75,0.75,0.25,0.25,0.185,[0.03  0.185 0.326 0.522 0.9  ]
154,-0.428,[-0.428],1,0.25,0.5,0.75,0.75,0.25,0.5,0.28600000000000003,[0.286]
155,-0.638,[-0.94  -0.638 -0.344  0.044  0.802],5,0.25,0.5,0.75,0.75,0.25,0.75,0.181,[0.03  0.181 0.328 0.522 0.901]
156,-0.632,[-0.938 -0.632 -0.346  0.046  0.804],5,0.25,0.5,0.75,0.75,0.5,0.25,0.184,[0.031 0.184 0.327 0.523 0.902]
157,-0.426,[-0.426],1,0.25,0.5,0.75,0.75,0.5,0.5,0.28700000000000003,[0.287]
158,-0.632,[-0.938 -0.632 -0.346  0.046  0.804],5,0.25,0.5,0.75,0.75,0.5,0.75,0.184,[0.031 0.184 0.327 0.523 0.902]
159,-0.638,[-0.94  -0.638 -0.344  0.044  0.802],5,0.25,0.5,0.75,0.75,0.75,0.25,0.181,[0.03  0.181 0.328 0.522 0.901]
160,-0.428,[-0.428],1,0.25,0.5,0.75,0.75,0.75,0.5,0.28600000000000003,[0.286]
161,-0.63,[-0.94  -0.63  -0.348  0.044  0.8  ],5,0.25,0.5,0.75,0.75,0.75,0.75,0.185,[0.03  0.185 0.326 0.522 0.9  ]
162,0.732,"[-0.93  -0.776 -0.702 -0.63  -0.49  -0.422 -0.344 -0.166 -0.084 -0.03
  0.118  0.202  0.27   0.454  0.508  0.582  0.732  0.814  0.86 ]",19,0.25,0.75,0.25,0.25,0.25,0.25,0.866,"[0.035 0.112 0.149 0.185 0.255 0.289 0.328 0.417 0.458 0.485 0.559 0.601
 0.635 0.727 0.754 0.791 0.866 0.907 0.93 ]"
163,-0.584,[-0.584 -0.042  0.034  0.598  0.656],5,0.25,0.75,0.25,0.25,0.25,0.5,0.20800000000000002,[0.208 0.479 0.517 0.799 0.828]
164,0.728,"[-0.774 -0.714 -0.628 -0.486 -0.424 -0.344 -0.168 -0.084 -0.032  0.116
  0.202  0.274  0.454  0.502  0.578  0.728  0.812  0.866  0.91 ]",19,0.25,0.75,0.25,0.25,0.25,0.75,0.864,"[0.113 0.143 0.186 0.257 0.288 0.328 0.416 0.458 0.484 0.558 0.601 0.637
 0.727 0.751 0.789 0.864 0.906 0.933 0.955]"
165,0.73,"[-0.928 -0.776 -0.698 -0.638 -0.48  -0.424 -0.168 -0.084 -0.032  0.116
  0.202  0.274  0.456  0.508  0.584  0.73   0.808  0.868  0.91 ]",19,0.25,0.75,0.25,0.25,0.5,0.25,0.865,"[0.036 0.112 0.151 0.181 0.26  0.288 0.416 0.458 0.484 0.558 0.601 0.637
 0.728 0.754 0.792 0.865 0.904 0.934 0.955]"
166,-0.578,[-0.578 -0.044  0.034  0.6    0.656],5,0.25,0.75,0.25,0.25,0.5,0.5,0.21100000000000002,[0.211 0.478 0.517 0.8   0.828]
167,0.73,"[-0.928 -0.774 -0.698 -0.638 -0.48  -0.424 -0.168 -0.084 -0.032  0.116
  0.202  0.274  0.456  0.508  0.584  0.73   0.808  0.868  0.91 ]",19,0.25,0.75,0.25,0.25,0.5,0.75,0.865,"[0.036 0.113 0.151 0.181 0.26  0.288 0.416 0.458 0.484 0.558 0.601 0.637
 0.728 0.754 0.792 0.865 0.904 0.934 0.955]"
168,0.728,"[-0.928 -0.774 -0.714 -0.628 -0.484 -0.424 -0.166 -0.084 -0.032  0.116
  0.202  0.272  0.456  0.504  0.578  0.728  0.814  0.864  0.908]",19,0.25,0.75,0.25,0.25,0.75,0.25,0.864,"[0.036 0.113 0.143 0.186 0.258 0.288 0.417 0.458 0.484 0.558 0.601 0.636
 0.728 0.752 0.789 0.864 0.907 0.932 0.954]"
169,-0.584,[-0.584 -0.042  0.034  0.598  0.656],5,0.25,0.75,0.25,0.25,0.75,0.5,0.20800000000000002,[0.208 0.479 0.517 0.799 0.828]
170,0.732,"[-0.93  -0.776 -0.702 -0.63  -0.492 -0.422 -0.344 -0.166 -0.084 -0.03
  0.118  0.202  0.27   0.454  0.508  0.582  0.732  0.814  0.86 ]",19,0.25,0.75,0.25,0.25,0.75,0.75,0.866,"[0.035 0.112 0.149 0.185 0.254 0.289 0.328 0.417 0.458 0.485 0.559 0.601
 0.635 0.727 0.754 0.791 0.866 0.907 0.93 ]"
171,0.176,[-0.134  0.176  0.46   0.808  0.848],5,0.25,0.75,0.25,0.5,0.25,0.25,0.588,[0.433 0.588 0.73  0.904 0.924]
172,0.926,[-0.83   0.926],2,0.25,0.75,0.25,0.5,0.25,0.5,0.9630000000000001,[0.085 0.963]
173,0.468,[-0.128  0.182  0.468  0.81   0.854],5,0.25,0.75,0.25,0.5,0.25,0.75,0.734,[0.436 0.591 0.734 0.905 0.927]
174,0.466,[-0.13   0.184  0.466  0.81   0.854],5,0.25,0.75,0.25,0.5,0.5,0.25,0.733,[0.435 0.592 0.733 0.905 0.927]
175,0.924,[-0.828  0.924],2,0.25,0.75,0.25,0.5,0.5,0.5,0.962,[0.086 0.962]
176,0.466,[-0.13   0.184  0.466  0.81   0.854],5,0.25,0.75,0.25,0.5,0.5,0.75,0.733,[0.435 0.592 0.733 0.905 0.927]
177,0.468,[-0.128  0.182  0.468  0.81   0.854],5,0.25,0.75,0.25,0.5,0.75,0.25,0.734,[0.436 0.591 0.734 0.905 0.927]
178,0.926,[-0.83   0.926],2,0.25,0.75,0.25,0.5,0.75,0.5,0.9630000000000001,[0.085 0.963]
179,0.176,[-0.134  0.176  0.46   0.808  0.848],5,0.25,0.75,0.25,0.5,0.75,0.75,0.588,[0.433 0.588 0.73  0.904 0.924]
180,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.164 -0.084 -0.032  0.118
  0.202  0.274  0.456  0.51   0.586  0.732  0.81   0.864]",18,0.25,0.75,0.25,0.75,0.25,0.25,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.418 0.458 0.484 0.559 0.601 0.637
 0.728 0.755 0.793 0.866 0.905 0.932]"
181,-0.582,[-0.582 -0.046  0.032  0.6    0.66 ],5,0.25,0.75,0.25,0.75,0.25,0.5,0.20900000000000002,[0.209 0.477 0.516 0.8   0.83 ]
182,0.73,"[-0.774 -0.704 -0.628 -0.488 -0.424 -0.34  -0.17  -0.084 -0.032  0.116
  0.2    0.272  0.456  0.506  0.586  0.73   0.81   0.864  0.91 ]",19,0.25,0.75,0.25,0.75,0.25,0.75,0.865,"[0.113 0.148 0.186 0.256 0.288 0.33  0.415 0.458 0.484 0.558 0.6   0.636
 0.728 0.753 0.793 0.865 0.905 0.932 0.955]"
183,0.73,"[-0.932 -0.774 -0.706 -0.632 -0.488 -0.424 -0.336 -0.29  -0.182 -0.098
 -0.088 -0.032  0.118  0.2    0.276  0.456  0.506  0.586  0.73   0.81
  0.864  0.908]",22,0.25,0.75,0.25,0.75,0.5,0.25,0.865,"[0.034 0.113 0.147 0.184 0.256 0.288 0.332 0.355 0.409 0.451 0.456 0.484
 0.559 0.6   0.638 0.728 0.753 0.793 0.865 0.905 0.932 0.954]"
184,-0.578,[-0.578 -0.046  0.032  0.6    0.65 ],5,0.25,0.75,0.25,0.75,0.5,0.5,0.21100000000000002,[0.211 0.477 0.516 0.8   0.825]
185,0.73,"[-0.932 -0.774 -0.706 -0.632 -0.488 -0.424 -0.336 -0.29  -0.182 -0.098
 -0.088 -0.032  0.118  0.2    0.276  0.456  0.506  0.586  0.73   0.81
  0.864  0.908]",22,0.25,0.75,0.25,0.75,0.5,0.75,0.865,"[0.034 0.113 0.147 0.184 0.256 0.288 0.332 0.355 0.409 0.451 0.456 0.484
 0.559 0.6   0.638 0.728 0.753 0.793 0.865 0.905 0.932 0.954]"
186,0.73,"[-0.774 -0.704 -0.628 -0.488 -0.424 -0.34  -0.17  -0.084 -0.032  0.116
  0.2    0.272  0.456  0.506  0.586  0.73   0.81   0.864  0.91 ]",19,0.25,0.75,0.25,0.75,0.75,0.25,0.865,"[0.113 0.148 0.186 0.256 0.288 0.33  0.415 0.458 0.484 0.558 0.6   0.636
 0.728 0.753 0.793 0.865 0.905 0.932 0.955]"
187,-0.582,[-0.582 -0.046  0.032  0.6    0.66 ],5,0.25,0.75,0.25,0.75,0.75,0.5,0.20900000000000002,[0.209 0.477 0.516 0.8   0.83 ]
188,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.164 -0.084 -0.032  0.118
  0.202  0.274  0.456  0.51   0.586  0.732  0.81   0.864]",18,0.25,0.75,0.25,0.75,0.75,0.75,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.418 0.458 0.484 0.559 0.601 0.637
 0.728 0.755 0.793 0.866 0.905 0.932]"
189,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.166 -0.084 -0.032  0.116
  0.202  0.276  0.456  0.508  0.586  0.732  0.81   0.864  0.906]",19,0.25,0.75,0.5,0.25,0.25,0.25,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.417 0.458 0.484 0.558 0.601 0.638
 0.728 0.754 0.793 0.866 0.905 0.932 0.953]"
190,-0.566,[-0.688 -0.566 -0.048  0.032  0.598  0.656],6,0.25,0.75,0.5,0.25,0.25,0.5,0.21700000000000003,[0.156 0.217 0.476 0.516 0.799 0.828]
191,0.73,"[-0.932 -0.772 -0.704 -0.628 -0.488 -0.424 -0.34  -0.178 -0.136 -0.084
 -0.034  0.116  0.202  0.274  0.456  0.506  0.592  0.73   0.81   0.864
  0.912]",21,0.25,0.75,0.5,0.25,0.25,0.75,0.865,"[0.034 0.114 0.148 0.186 0.256 0.288 0.33  0.411 0.432 0.458 0.483 0.558
 0.601 0.637 0.728 0.753 0.796 0.865 0.905 0.932 0.956]"
192,0.732,"[-0.774 -0.706 -0.632 -0.488 -0.424 -0.34  -0.168 -0.082 -0.032  0.116
  0.202  0.274  0.456  0.506  0.586  0.732  0.81   0.864  0.908]",19,0.25,0.75,0.5,0.25,0.5,0.25,0.866,"[0.113 0.147 0.184 0.256 0.288 0.33  0.416 0.459 0.484 0.558 0.601 0.637
 0.728 0.753 0.793 0.866 0.905 0.932 0.954]"
193,-0.578,[-0.578 -0.048  0.034  0.6    0.656],5,0.25,0.75,0.5,0.25,0.5,0.5,0.21100000000000002,[0.211 0.476 0.517 0.8   0.828]
194,0.732,"[-0.774 -0.706 -0.632 -0.488 -0.424 -0.34  -0.168 -0.082 -0.032  0.116
  0.202  0.274  0.456  0.506  0.586  0.732  0.81   0.864  0.908]",19,0.25,0.75,0.5,0.25,0.5,0.75,0.866,"[0.113 0.147 0.184 0.256 0.288 0.33  0.416 0.459 0.484 0.558 0.601 0.637
 0.728 0.753 0.793 0.866 0.905 0.932 0.954]"
195,0.73,"[-0.932 -0.772 -0.704 -0.628 -0.488 -0.424 -0.34  -0.178 -0.136 -0.084
 -0.034  0.116  0.202  0.274  0.456  0.506  0.592  0.73   0.81   0.864
  0.912]",21,0.25,0.75,0.5,0.25,0.75,0.25,0.865,"[0.034 0.114 0.148 0.186 0.256 0.288 0.33  0.411 0.432 0.458 0.483 0.558
 0.601 0.637 0.728 0.753 0.796 0.865 0.905 0.932 0.956]"
196,-0.566,[-0.688 -0.566 -0.048  0.032  0.598  0.656],6,0.25,0.75,0.5,0.25,0.75,0.5,0.21700000000000003,[0.156 0.217 0.476 0.516 0.799 0.828]
197,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.166 -0.084 -0.032  0.116
  0.202  0.276  0.456  0.508  0.586  0.732  0.81   0.864  0.906]",19,0.25,0.75,0.5,0.25,0.75,0.75,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.417 0.458 0.484 0.558 0.601 0.638
 0.728 0.754 0.793 0.866 0.905 0.932 0.953]"
198,0.468,[-0.124  0.186  0.468  0.808  0.858],5,0.25,0.75,0.5,0.5,0.25,0.25,0.734,[0.438 0.593 0.734 0.904 0.929]
199,0.924,[-0.832  0.924],2,0.25,0.75,0.5,0.5,0.25,0.5,0.962,[0.084 0.962]
200,0.466,[-0.126  0.176  0.466  0.81   0.854],5,0.25,0.75,0.5,0.5,0.25,0.75,0.733,[0.437 0.588 0.733 0.905 0.927]
201,0.466,[-0.128  0.192  0.466  0.808  0.854],5,0.25,0.75,0.5,0.5,0.5,0.25,0.733,[0.436 0.596 0.733 0.904 0.927]
202,0.924,[-0.832  0.924],2,0.25,0.75,0.5,0.5,0.5,0.5,0.962,[0.084 0.962]
203,0.466,[-0.128  0.192  0.466  0.808  0.854],5,0.25,0.75,0.5,0.5,0.5,0.75,0.733,[0.436 0.596 0.733 0.904 0.927]
204,0.466,[-0.126  0.176  0.466  0.81   0.854],5,0.25,0.75,0.5,0.5,0.75,0.25,0.733,[0.437 0.588 0.733 0.905 0.927]
205,0.924,[-0.832  0.924],2,0.25,0.75,0.5,0.5,0.75,0.5,0.962,[0.084 0.962]
206,0.468,[-0.124  0.186  0.468  0.81   0.858],5,0.25,0.75,0.5,0.5,0.75,0.75,0.734,[0.438 0.593 0.734 0.905 0.929]
207,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.166 -0.084 -0.032  0.116
  0.202  0.276  0.456  0.508  0.586  0.732  0.81   0.864  0.906]",19,0.25,0.75,0.5,0.75,0.25,0.25,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.417 0.458 0.484 0.558 0.601 0.638
 0.728 0.754 0.793 0.866 0.905 0.932 0.953]"
208,-0.566,[-0.688 -0.566 -0.048  0.032  0.598  0.656],6,0.25,0.75,0.5,0.75,0.25,0.5,0.21700000000000003,[0.156 0.217 0.476 0.516 0.799 0.828]
209,0.73,"[-0.932 -0.772 -0.704 -0.628 -0.488 -0.424 -0.34  -0.178 -0.136 -0.084
 -0.034  0.116  0.202  0.274  0.456  0.506  0.592  0.73   0.81   0.864
  0.912]",21,0.25,0.75,0.5,0.75,0.25,0.75,0.865,"[0.034 0.114 0.148 0.186 0.256 0.288 0.33  0.411 0.432 0.458 0.483 0.558
 0.601 0.637 0.728 0.753 0.796 0.865 0.905 0.932 0.956]"
210,0.732,"[-0.774 -0.706 -0.632 -0.488 -0.424 -0.34  -0.168 -0.082 -0.032  0.116
  0.202  0.274  0.456  0.506  0.586  0.732  0.81   0.864  0.908]",19,0.25,0.75,0.5,0.75,0.5,0.25,0.866,"[0.113 0.147 0.184 0.256 0.288 0.33  0.416 0.459 0.484 0.558 0.601 0.637
 0.728 0.753 0.793 0.866 0.905 0.932 0.954]"
211,-0.578,[-0.578 -0.048  0.034  0.6    0.656],5,0.25,0.75,0.5,0.75,0.5,0.5,0.21100000000000002,[0.211 0.476 0.517 0.8   0.828]
212,0.732,"[-0.774 -0.706 -0.632 -0.488 -0.424 -0.34  -0.168 -0.082 -0.032  0.116
  0.202  0.274  0.456  0.506  0.586  0.732  0.81   0.864  0.908]",19,0.25,0.75,0.5,0.75,0.5,0.75,0.866,"[0.113 0.147 0.184 0.256 0.288 0.33  0.416 0.459 0.484 0.558 0.601 0.637
 0.728 0.753 0.793 0.866 0.905 0.932 0.954]"
213,0.73,"[-0.932 -0.772 -0.704 -0.628 -0.488 -0.424 -0.34  -0.178 -0.136 -0.084
 -0.034  0.116  0.202  0.274  0.456  0.506  0.592  0.73   0.81   0.864
  0.912]",21,0.25,0.75,0.5,0.75,0.75,0.25,0.865,"[0.034 0.114 0.148 0.186 0.256 0.288 0.33  0.411 0.432 0.458 0.483 0.558
 0.601 0.637 0.728 0.753 0.796 0.865 0.905 0.932 0.956]"
214,-0.566,[-0.688 -0.566 -0.048  0.032  0.598  0.656],6,0.25,0.75,0.5,0.75,0.75,0.5,0.21700000000000003,[0.156 0.217 0.476 0.516 0.799 0.828]
215,0.732,"[-0.932 -0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.166 -0.084 -0.032
  0.116  0.202  0.276  0.456  0.508  0.586  0.732  0.81   0.864  0.906]",20,0.25,0.75,0.5,0.75,0.75,0.75,0.866,"[0.034 0.113 0.147 0.185 0.256 0.288 0.33  0.417 0.458 0.484 0.558 0.601
 0.638 0.728 0.754 0.793 0.866 0.905 0.932 0.953]"
216,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.164 -0.084 -0.032  0.12
  0.202  0.274  0.456  0.51   0.586  0.732  0.81   0.864]",18,0.25,0.75,0.75,0.25,0.25,0.25,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.418 0.458 0.484 0.56  0.601 0.637
 0.728 0.755 0.793 0.866 0.905 0.932]"
217,-0.582,[-0.582 -0.046  0.032  0.6    0.66 ],5,0.25,0.75,0.75,0.25,0.25,0.5,0.20900000000000002,[0.209 0.477 0.516 0.8   0.83 ]
218,0.73,"[-0.774 -0.704 -0.628 -0.488 -0.424 -0.34  -0.17  -0.084 -0.032  0.116
  0.2    0.272  0.456  0.506  0.586  0.73   0.81   0.864  0.91 ]",19,0.25,0.75,0.75,0.25,0.25,0.75,0.865,"[0.113 0.148 0.186 0.256 0.288 0.33  0.415 0.458 0.484 0.558 0.6   0.636
 0.728 0.753 0.793 0.865 0.905 0.932 0.955]"
219,0.73,"[-0.932 -0.774 -0.706 -0.632 -0.488 -0.424 -0.336 -0.29  -0.182 -0.098
 -0.088 -0.032  0.118  0.2    0.276  0.456  0.506  0.586  0.73   0.81
  0.864  0.908]",22,0.25,0.75,0.75,0.25,0.5,0.25,0.865,"[0.034 0.113 0.147 0.184 0.256 0.288 0.332 0.355 0.409 0.451 0.456 0.484
 0.559 0.6   0.638 0.728 0.753 0.793 0.865 0.905 0.932 0.954]"
220,-0.578,[-0.578 -0.046  0.032  0.6    0.65 ],5,0.25,0.75,0.75,0.25,0.5,0.5,0.21100000000000002,[0.211 0.477 0.516 0.8   0.825]
221,0.73,"[-0.932 -0.774 -0.706 -0.632 -0.488 -0.424 -0.336 -0.29  -0.182 -0.098
 -0.088 -0.032  0.118  0.2    0.276  0.456  0.506  0.586  0.73   0.81
  0.864  0.908]",22,0.25,0.75,0.75,0.25,0.5,0.75,0.865,"[0.034 0.113 0.147 0.184 0.256 0.288 0.332 0.355 0.409 0.451 0.456 0.484
 0.559 0.6   0.638 0.728 0.753 0.793 0.865 0.905 0.932 0.954]"
222,0.73,"[-0.774 -0.704 -0.628 -0.488 -0.424 -0.34  -0.17  -0.084 -0.032  0.116
  0.2    0.272  0.456  0.506  0.586  0.73   0.81   0.864  0.91 ]",19,0.25,0.75,0.75,0.25,0.75,0.25,0.865,"[0.113 0.148 0.186 0.256 0.288 0.33  0.415 0.458 0.484 0.558 0.6   0.636
 0.728 0.753 0.793 0.865 0.905 0.932 0.955]"
223,-0.582,[-0.582 -0.046  0.032  0.6    0.66 ],5,0.25,0.75,0.75,0.25,0.75,0.5,0.20900000000000002,[0.209 0.477 0.516 0.8   0.83 ]
224,0.732,"[-0.774 -0.706 -0.63  -0.488 -0.424 -0.34  -0.164 -0.084 -0.032  0.12
  0.202  0.274  0.456  0.51   0.586  0.732  0.81   0.864]",18,0.25,0.75,0.75,0.25,0.75,0.75,0.866,"[0.113 0.147 0.185 0.256 0.288 0.33  0.418 0.458 0.484 0.56  0.601 0.637
 0.728 0.755 0.793 0.866 0.905 0.932]"
225,0.176,[-0.134  0.176  0.46   0.808  0.848],5,0.25,0.75,0.75,0.5,0.25,0.25,0.588,[0.433 0.588 0.73  0.904 0.924]
226,0.926,[-0.83   0.926],2,0.25,0.75,0.75,0.5,0.25,0.5,0.9630000000000001,[0.085 0.963]
227,0.468,[-0.128  0.182  0.468  0.81   0.854],5,0.25,0.75,0.75,0.5,0.25,0.75,0.734,[0.436 0.591 0.734 0.905 0.927]
228,0.466,[-0.13   0.184  0.466  0.81   0.854],5,0.25,0.75,0.75,0.5,0.5,0.25,0.733,[0.435 0.592 0.733 0.905 0.927]
229,0.924,[-0.828  0.924],2,0.25,0.75,0.75,0.5,0.5,0.5,0.962,[0.086 0.962]
230,0.466,[-0.13   0.184  0.466  0.81   0.854],5,0.25,0.75,0.75,0.5,0.5,0.75,0.733,[0.435 0.592 0.733 0.905 0.927]
231,0.468,[-0.128  0.182  0.468  0.81   0.854],5,0.25,0.75,0.75,0.5,0.75,0.25,0.734,[0.436 0.591 0.734 0.905 0.927]
232,0.926,[-0.83   0.926],2,0.25,0.75,0.75,0.5,0.75,0.5,0.9630000000000001,[0.085 0.963]
233,0.176,[-0.134  0.176  0.46   0.808  0.848],5,0.25,0.75,0.75,0.5,0.75,0.75,0.588,[0.433 0.588 0.73  0.904 0.924]
234,0.732,"[-0.93  -0.776 -0.702 -0.63  -0.49  -0.422 -0.344 -0.166 -0.084 -0.03
  0.116  0.202  0.27   0.454  0.508  0.582  0.732  0.814  0.86 ]",19,0.25,0.75,0.75,0.75,0.25,0.25,0.866,"[0.035 0.112 0.149 0.185 0.255 0.289 0.328 0.417 0.458 0.485 0.558 0.601
 0.635 0.727 0.754 0.791 0.866 0.907 0.93 ]"
235,-0.584,[-0.584 -0.042  0.034  0.598  0.656],5,0.25,0.75,0.75,0.75,0.25,0.5,0.20800000000000002,[0.208 0.479 0.517 0.799 0.828]
236,0.728,"[-0.93  -0.774 -0.714 -0.628 -0.484 -0.424 -0.166 -0.084 -0.032  0.116
  0.202  0.272  0.456  0.504  0.578  0.728  0.814  0.864  0.908]",19,0.25,0.75,0.75,0.75,0.25,0.75,0.864,"[0.035 0.113 0.143 0.186 0.258 0.288 0.417 0.458 0.484 0.558 0.601 0.636
 0.728 0.752 0.789 0.864 0.907 0.932 0.954]"
237,0.73,"[-0.928 -0.774 -0.698 -0.638 -0.48  -0.424 -0.168 -0.084 -0.032  0.116
  0.202  0.274  0.456  0.508  0.584  0.73   0.808  0.868  0.91 ]",19,0.25,0.75,0.75,0.75,0.5,0.25,0.865,"[0.036 0.113 0.151 0.181 0.26  0.288 0.416 0.458 0.484 0.558 0.601 0.637
 0.728 0.754 0.792 0.865 0.904 0.934 0.955]"
238,-0.578,[-0.578 -0.044  0.034  0.6    0.656],5,0.25,0.75,0.75,0.75,0.5,0.5,0.21100000000000002,[0.211 0.478 0.517 0.8   0.828]
239,0.73,"[-0.928 -0.776 -0.698 -0.638 -0.48  -0.424 -0.168 -0.084 -0.032  0.116
  0.202  0.274  0.456  0.508  0.584  0.73   0.808  0.868  0.91 ]",19,0.25,0.75,0.75,0.75,0.5,0.75,0.865,"[0.036 0.112 0.151 0.181 0.26  0.288 0.416 0.458 0.484 0.558 0.601 0.637
 0.728 0.754 0.792 0.865 0.904 0.934 0.955]"
