delta,main_maximum,all_maxima,no_of_max,Intensity
0.4028282828282829,0.9640000000000001,[0.422 0.464 0.502 0.53  0.606 0.646 0.692 0.714 0.794 0.878 0.964],11,"[0.04970372 0.04888408 0.05225682 0.05234288 0.05657696 0.0554504
 0.06032318 0.06081939 0.066943   0.07164443 0.07775054]"
0.41494949494949496,0.952,"[0.03  0.108 0.194 0.278 0.352 0.436 0.52  0.602 0.728 0.742 0.8   0.88
 0.952]",13,"[0.03455203 0.03537052 0.03636959 0.03782502 0.0394278  0.04101964
 0.04276281 0.04414362 0.04770567 0.0475866  0.05049028 0.05368087
 0.0566772 ]"
0.4129292929292929,0.97,[0.7   0.738 0.774 0.816 0.848 0.892 0.928 0.97 ],8,"[0.04856431 0.05012    0.05137122 0.05279937 0.05428064 0.05553565
 0.05718596 0.05888771]"
0.4109090909090909,0.93,[0.224 0.306 0.344 0.378 0.428 0.522 0.606 0.688 0.758 0.842 0.93 ],11,"[0.03890529 0.03998355 0.04062687 0.04068352 0.04366622 0.04606856
 0.04757371 0.0494926  0.05243939 0.05668435 0.05959916]"
0.41696969696969705,0.3720000000000001,[0.064 0.076 0.11  0.144 0.182 0.216 0.288 0.304 0.372],9,"[0.03333713 0.03335386 0.03391068 0.03435594 0.03496296 0.03533979
 0.0363987  0.03650706 0.03774796]"
0.418989898989899,0.998,"[-0.078  0.     0.084  0.168  0.252  0.324  0.404  0.428  0.476  0.508
  0.578  0.65   0.73   0.804  0.886  0.922  0.998]",17,"[0.03224963 0.03289392 0.03354514 0.03440216 0.03533889 0.03630412
 0.03771097 0.03798932 0.03902268 0.03934415 0.04100135 0.04272762
 0.04462054 0.04714094 0.04967533 0.05049136 0.05307843]"
0.4270707070707071,0.99,[0.61  0.694 0.782 0.918 0.99 ],5,[0.03797501 0.0393062  0.0406276  0.04393977 0.0457401 ]
0.42303030303030303,0.996,[0.64  0.654 0.758 0.83  0.84  0.862 0.914 0.996],8,"[0.04006713 0.04005082 0.04225177 0.04460348 0.04456834 0.04445824
 0.04720252 0.04979677]"
0.421010101010101,0.9640000000000001,[0.636 0.718 0.81  0.822 0.89  0.964],6,[0.04133645 0.04324159 0.04527634 0.04525729 0.04784541 0.05041133]
0.4290909090909091,0.976,[0.562 0.648 0.734 0.82  0.898 0.976],6,[0.03651116 0.0376239  0.03935069 0.04089229 0.04227422 0.04402807]
0.42505050505050507,0.9359999999999999,[0.624 0.64  0.694 0.708 0.778 0.85  0.936 0.948],8,"[0.03866643 0.03869947 0.0401532  0.040124   0.04180779 0.04386177
 0.04594217 0.04591225]"
0.4331313131313131,0.932,[0.552 0.622 0.674 0.69  0.742 0.932 0.944],7,"[0.03405497 0.03479642 0.03566985 0.03574502 0.03666888 0.04029154
 0.04022642]"
0.4311111111111111,0.94,[0.516 0.602 0.612 0.684 0.772 0.854 0.94  0.964 0.976],9,"[0.03463729 0.03582828 0.03584424 0.03729599 0.03878448 0.04042134
 0.04192072 0.04183865 0.0418948 ]"
0.4351515151515152,0.952,[0.502 0.574 0.584 0.604 0.646 0.726 0.952],7,"[0.03307725 0.03384541 0.03383131 0.03358883 0.03477215 0.03568633
 0.03935905]"
