,,Energy,Intensity
spectrum11,6,0.466,27.532916399999998
spectrum11,7,0.806,13.5985514
spectrum11,8,0.854,13.700958900000002
spectrum12,0,-0.618,4.18247383
spectrum12,1,-0.318,4.30877096
spectrum12,2,-0.126,13.184565
spectrum12,3,-0.038,4.87937505
spectrum12,4,0.182,27.374245000000002
spectrum12,5,0.36,3.38921162
spectrum12,6,0.464,27.137937100000006
spectrum12,7,0.812,14.7815255
spectrum12,8,0.856,13.1491114
spectrum13,0,-0.944,3.42808628
spectrum13,1,-0.848,7.08558468
spectrum13,2,-0.786,7.09597428
spectrum13,3,0.81,11.852902499999999
spectrum13,4,0.908,22.5111385
spectrum13,5,0.972,27.914323699999997
spectrum14,0,-0.618,4.18409318
spectrum14,1,-0.318,4.30640056
spectrum14,2,-0.126,13.182882399999999
spectrum14,3,-0.038,4.87621561
spectrum14,4,0.182,27.3692624
spectrum14,5,0.36,3.38981964
spectrum14,6,0.464,27.1326335
spectrum14,7,0.812,14.7881633
spectrum14,8,0.856,13.144082899999999
spectrum15,0,-0.614,4.15699915
spectrum15,1,-0.322,3.80134569
spectrum15,2,-0.126,13.9923655
spectrum15,3,-0.038,4.56559663
spectrum15,4,0.18,26.482534499999996
spectrum15,5,0.358,3.18138418
spectrum15,6,0.466,27.3813217
spectrum15,7,0.806,13.605735300000001
spectrum15,8,0.854,13.6821585
spectrum16,0,-0.832,15.8215918
spectrum16,1,0.922,57.5723517
spectrum17,0,-0.624,1.75443504
spectrum17,1,-0.564,2.44527928
spectrum17,2,-0.334,2.36015882
spectrum17,3,-0.268,3.15693817
spectrum17,4,-0.242,3.45019417
spectrum17,5,-0.14,6.12723532
spectrum17,6,-0.074,7.89284764
spectrum17,7,0.006,3.80384931
spectrum17,8,0.068,6.87401939
spectrum17,9,0.168,11.2965206
spectrum17,10,0.23,12.979016099999999
spectrum17,11,0.348,7.05340602
spectrum17,12,0.448,11.8616518
spectrum17,13,0.51,13.486490900000002
spectrum17,14,0.696,3.42300522
spectrum17,15,0.744,4.02549167
spectrum17,16,0.796,6.41536518
spectrum17,17,0.85,9.81736946
spectrum17,18,0.898,7.14114745
spectrum17,19,0.974,3.77726114
spectrum18,0,-0.878,1.31912689
spectrum18,1,-0.772,5.06947509
spectrum18,2,-0.706,7.00535846
spectrum18,3,-0.612,3.49844289
spectrum18,4,-0.486,6.47434241
spectrum18,5,-0.424,6.76074942
spectrum18,6,-0.34,2.03398383
spectrum18,7,-0.258,1.27434304
spectrum18,8,-0.17,5.75567288
spectrum18,9,-0.084,4.41428258
spectrum18,10,-0.032,3.95025867
spectrum18,11,0.042,2.04012355
spectrum18,12,0.114,6.1148743
spectrum18,13,0.202,3.89231865
spectrum18,14,0.272,3.42550637
spectrum18,15,0.454,5.82163929
spectrum18,16,0.502,3.85620277
spectrum18,17,0.586,5.16823885
spectrum18,18,0.736,8.66994812
spectrum18,19,0.864,4.15344095
spectrum19,0,-0.692,3.73426185
spectrum19,1,-0.576,24.9150192
spectrum19,2,-0.278,2.72826265
spectrum19,3,-0.044,11.490890499999999
spectrum19,4,0.04,13.668768300000002
spectrum19,5,0.614,9.48973352
spectrum19,6,0.662,14.426259699999997
spectrum20,0,-0.928,1.92498009
spectrum20,1,-0.87,1.21598556
spectrum20,2,-0.774,5.01361007
spectrum20,3,-0.704,6.90107155
spectrum20,4,-0.63,3.86160803
spectrum20,5,-0.488,6.35178845
spectrum20,6,-0.424,6.83832664
spectrum20,7,-0.342,2.01306241
spectrum20,8,-0.27,1.37576947
spectrum20,9,-0.168,5.73740935
spectrum20,10,-0.076,5.16814521
spectrum20,11,-0.034,4.06293267
spectrum20,12,0.112,6.05912781
spectrum20,13,0.202,4.18704998
spectrum20,14,0.282,3.0675238
spectrum20,15,0.454,5.91485173
spectrum20,16,0.512,4.16429234
spectrum20,17,0.586,5.0549574
spectrum20,18,0.728,8.61381872
spectrum20,19,0.816,2.53701201
spectrum20,20,0.864,4.06687695
spectrum21,0,-0.926,2.01674415
spectrum21,1,-0.774,5.12725495
spectrum21,2,-0.704,7.07334451
spectrum21,3,-0.628,3.67646546
spectrum21,4,-0.488,6.51216122
spectrum21,5,-0.424,6.74148304
spectrum21,6,-0.342,2.07357804
spectrum21,7,-0.272,1.36922484
spectrum21,8,-0.17,5.77013804
spectrum21,9,-0.082,4.45613425
spectrum21,10,-0.032,3.87884177
spectrum21,11,0.112,6.04372365
spectrum21,12,0.204,4.13903115
spectrum21,13,0.274,3.16646571
spectrum21,14,0.454,6.00655418
spectrum21,15,0.522,3.95587694
spectrum21,16,0.586,5.15956215
spectrum21,17,0.728,8.32188778
spectrum21,18,0.816,2.57374083
spectrum21,19,0.862,4.21769831
spectrum21,20,0.908,2.49471886
spectrum22,0,-0.692,3.37544684
spectrum22,1,-0.558,23.082491
spectrum22,2,-0.278,2.81025681
spectrum22,3,-0.046,10.6488905
spectrum22,4,0.034,16.856448999999998
spectrum22,5,0.594,11.9087951
spectrum22,6,0.658,14.2487585
spectrum23,0,-0.926,2.01679133
spectrum23,1,-0.774,5.12775255
spectrum23,2,-0.704,7.07307102
spectrum23,3,-0.628,3.67648229
spectrum23,4,-0.488,6.5122465
spectrum23,5,-0.424,6.74136181
spectrum23,6,-0.342,2.07367285
spectrum23,7,-0.272,1.36955927
spectrum23,8,-0.17,5.76950531
spectrum23,9,-0.082,4.45545767
spectrum23,10,-0.032,3.87870819
spectrum23,11,0.112,6.04334778
spectrum23,12,0.204,4.13821722
spectrum23,13,0.274,3.1669496
spectrum23,14,0.454,6.00641681
spectrum23,15,0.522,3.95650618
spectrum23,16,0.586,5.16006398
spectrum23,17,0.728,8.32210831
spectrum23,18,0.816,2.57352144
