,,Energy,Intensity
spectrum54,11,0.046,2.02494358
spectrum54,12,0.114,6.1865572
spectrum54,13,0.202,3.90171626
spectrum54,14,0.272,3.39326791
spectrum54,15,0.454,5.83939598
spectrum54,16,0.502,3.86268157
spectrum54,17,0.586,5.19493697
spectrum54,18,0.736,8.66833198
spectrum54,19,0.864,4.17163527
spectrum55,0,-0.692,3.77780879
spectrum55,1,-0.576,24.8883873
spectrum55,2,-0.278,2.67964051
spectrum55,3,-0.044,11.353402800000001
spectrum55,4,0.04,13.7146592
spectrum55,5,0.614,9.56444795
spectrum55,6,0.662,14.6177163
spectrum56,0,-0.93,1.93197636
spectrum56,1,-0.87,1.21471117
spectrum56,2,-0.774,5.00359592
spectrum56,3,-0.704,6.90945119
spectrum56,4,-0.63,3.85738118
spectrum56,5,-0.488,6.34305004
spectrum56,6,-0.424,6.84417422
spectrum56,7,-0.342,1.99535903
spectrum56,8,-0.27,1.36985531
spectrum56,9,-0.168,5.72902548
spectrum56,10,-0.076,5.18457941
spectrum56,11,-0.034,4.05615723
spectrum56,12,0.112,6.05158275
spectrum56,13,0.204,4.17967695
spectrum56,14,0.282,3.0570644
spectrum56,15,0.454,5.90645252
spectrum56,16,0.512,4.1513653
spectrum56,17,0.586,5.04614178
spectrum56,18,0.728,8.60968842
spectrum56,19,0.816,2.54570896
spectrum56,20,0.864,4.07842045
spectrum57,0,-0.926,2.01702997
spectrum57,1,-0.774,5.1272437
spectrum57,2,-0.704,7.07275775
spectrum57,3,-0.628,3.67685422
spectrum57,4,-0.488,6.51168932
spectrum57,5,-0.424,6.74102421
spectrum57,6,-0.342,2.07388528
spectrum57,7,-0.272,1.36973947
spectrum57,8,-0.17,5.76996164
spectrum57,9,-0.082,4.45580238
spectrum57,10,-0.032,3.87837729
spectrum57,11,0.112,6.04365862
spectrum57,12,0.204,4.13889548
spectrum57,13,0.274,3.16646516
spectrum57,14,0.454,6.00681525
spectrum57,15,0.522,3.95641453
spectrum57,16,0.586,5.15982953
spectrum57,17,0.728,8.32106612
spectrum57,18,0.816,2.57341782
spectrum57,19,0.862,4.2174925
spectrum57,20,0.908,2.49432403
spectrum58,0,-0.692,3.34038776
spectrum58,1,-0.558,22.9970009
spectrum58,2,-0.278,2.79837585
spectrum58,3,-0.046,10.651712199999999
spectrum58,4,0.034,16.7223941
spectrum58,5,0.594,11.8643501
spectrum58,6,0.658,14.242239600000001
spectrum59,0,-0.926,2.01738114
spectrum59,1,-0.774,5.12769806
spectrum59,2,-0.704,7.0731969
spectrum59,3,-0.628,3.67662017
spectrum59,4,-0.488,6.5117101
spectrum59,5,-0.424,6.74138716
spectrum59,6,-0.342,2.07394283
spectrum59,7,-0.272,1.36985297
spectrum59,8,-0.17,5.76927083
spectrum59,9,-0.082,4.4555841
spectrum59,10,-0.032,3.8787577
spectrum59,11,0.112,6.04348846
spectrum59,12,0.204,4.13824228
spectrum59,13,0.274,3.16703643
spectrum59,14,0.454,6.00621453
spectrum59,15,0.522,3.95735324
spectrum59,16,0.586,5.15975787
spectrum59,17,0.728,8.32199214
spectrum59,18,0.816,2.5732754
spectrum59,19,0.862,4.21809932
spectrum59,20,0.908,2.49446664
spectrum60,0,-0.928,1.92270725
spectrum60,1,-0.872,1.22132915
spectrum60,2,-0.774,5.02793196
spectrum60,3,-0.704,6.89155392
spectrum60,4,-0.63,3.86739023
spectrum60,5,-0.486,6.40028889
spectrum60,6,-0.424,6.82849091
spectrum60,7,-0.344,2.00098148
spectrum60,8,-0.268,1.36725337
spectrum60,9,-0.168,5.75486768
spectrum60,10,-0.076,5.16560044
spectrum60,11,-0.034,4.04441517
spectrum60,12,0.112,6.05937668
spectrum60,13,0.202,4.18129851
spectrum60,14,0.282,3.06250617
spectrum60,15,0.454,5.9117241
spectrum60,16,0.51,4.15165252
spectrum60,17,0.586,5.05431196
spectrum60,18,0.728,8.6160503
spectrum60,19,0.818,2.53276518
spectrum60,20,0.864,4.07476322
spectrum61,0,-0.692,3.74231884
spectrum61,1,-0.576,24.910528399999997
spectrum61,2,-0.278,2.71089777
spectrum61,3,-0.044,11.4600107
spectrum61,4,0.04,13.6627277
spectrum61,5,0.614,9.50467176
spectrum61,6,0.662,14.4324707
spectrum62,0,-0.872,1.31042206
spectrum62,1,-0.772,5.0445575
spectrum62,2,-0.706,6.97390664
spectrum62,3,-0.612,3.5029426
spectrum62,4,-0.486,6.440288
spectrum62,5,-0.424,6.71151815
spectrum62,6,-0.338,2.0544601
spectrum62,7,-0.264,1.27767383
spectrum62,8,-0.17,5.73584404
spectrum62,9,-0.084,4.42391217
spectrum62,10,-0.032,3.92903116
spectrum62,11,0.04,2.04775772
spectrum62,12,0.114,6.13250178
spectrum62,13,0.202,3.88390633
spectrum62,14,0.272,3.41409832
spectrum62,15,0.454,5.80880636
spectrum62,16,0.5,3.85698916
spectrum62,17,0.586,5.1315908
spectrum62,18,0.736,8.64344061
spectrum62,19,0.864,4.13042683
spectrum63,0,-0.626,1.76368532
spectrum63,1,-0.566,2.4993003
spectrum63,2,-0.334,2.44630253
spectrum63,3,-0.266,3.26282057
spectrum63,4,-0.242,3.45675393
spectrum63,5,-0.142,6.08136632
spectrum63,6,-0.074,7.80748711
spectrum63,7,0.008,3.79039022
spectrum63,8,0.068,6.86384129
spectrum63,9,0.166,11.120778199999998
spectrum63,10,0.23,12.942319300000001
spectrum63,11,0.348,7.07574068
spectrum63,12,0.448,11.6741151
spectrum63,13,0.51,13.486525899999998
spectrum63,14,0.696,3.4327442
spectrum63,15,0.744,4.02995819
spectrum63,16,0.798,6.50107324
spectrum63,17,0.852,9.71159367
spectrum63,18,0.896,7.11663977
spectrum63,19,0.974,3.79594587
spectrum64,0,-0.832,15.8432155
spectrum64,1,0.924,57.383426
spectrum65,0,-0.616,4.13389191
spectrum65,1,-0.322,3.85511855
spectrum65,2,-0.126,13.910378099999999
spectrum65,3,-0.038,4.61207713
spectrum65,4,0.18,26.283037699999998
spectrum65,5,0.356,3.14847276
spectrum65,6,0.466,27.155938300000003
spectrum65,7,0.804,13.6347176
spectrum65,8,0.854,13.542712699999997
spectrum66,0,-0.618,4.18236843
spectrum66,1,-0.318,4.3095445
spectrum66,2,-0.126,13.183628200000001
spectrum66,3,-0.038,4.88071133
spectrum66,4,0.182,27.3715411
spectrum66,5,0.36,3.38929641
spectrum66,6,0.464,27.134696500000004
spectrum66,7,0.812,14.7804036
spectrum66,8,0.856,13.1497995
spectrum67,0,-0.944,3.4037505
spectrum67,1,-0.848,7.11483984
spectrum67,2,-0.786,7.13548693
spectrum67,3,0.81,11.8932567
spectrum67,4,0.908,22.2189574
spectrum67,5,0.972,27.849743100000005
spectrum68,0,-0.618,4.18593932
spectrum68,1,-0.318,4.30649988
spectrum68,2,-0.126,13.1855821
spectrum68,3,-0.038,4.87692611
spectrum68,4,0.182,27.374296
spectrum68,5,0.36,3.38977048
spectrum68,6,0.464,27.1358414
spectrum68,7,0.812,14.785256200000001
spectrum68,8,0.856,13.144137300000002
spectrum69,0,-0.614,4.22794688
spectrum69,1,-0.32,3.78252764
spectrum69,2,-0.126,14.109867900000001
spectrum69,3,-0.038,4.54374234
spectrum69,4,0.18,26.663245899999996
spectrum69,5,0.36,3.21537039
spectrum69,6,0.466,27.529332399999998
spectrum69,7,0.806,13.653043900000002
spectrum69,8,0.854,13.741697899999998
spectrum70,0,-0.832,15.826339
spectrum70,1,0.922,57.40225989999999
spectrum71,0,-0.626,1.76596658
spectrum71,1,-0.566,2.46440117
spectrum71,2,-0.334,2.36095616
spectrum71,3,-0.266,3.16443844
spectrum71,4,-0.242,3.48460049
spectrum71,5,-0.142,6.05916941
spectrum71,6,-0.074,7.85538342
spectrum71,7,0.006,3.75791113
spectrum71,8,0.068,6.90608187
spectrum71,9,0.166,11.0873391
spectrum71,10,0.23,12.9888879
spectrum71,11,0.348,7.0940505
spectrum71,12,0.448,11.649056800000002
spectrum71,13,0.51,13.535876199999999
spectrum71,14,0.696,3.39845705
spectrum71,15,0.742,4.05862129
spectrum71,16,0.796,6.58932889
spectrum71,17,0.852,9.70032102
spectrum71,18,0.898,7.19536936
spectrum71,19,0.974,3.74852672
spectrum72,0,-0.758,5.2219755
spectrum72,1,-0.69,6.86578798
spectrum72,2,-0.612,3.58469676
spectrum72,3,-0.472,6.75556855
spectrum72,4,-0.406,6.52336466
spectrum72,5,-0.33,2.06169747
spectrum72,6,-0.152,5.88030949
spectrum72,7,-0.068,4.58736427
spectrum72,8,-0.014,3.77572211
spectrum72,9,0.132,6.36174016
spectrum72,10,0.222,4.17368915
spectrum72,11,0.292,3.13898914
spectrum72,12,0.47,5.90843112
spectrum72,13,0.524,4.10034794
spectrum72,14,0.602,5.15558949
spectrum72,15,0.746,7.91435711
spectrum72,16,0.824,2.6254533
spectrum72,17,0.882,4.24817285
spectrum73,0,-0.69,3.71015701
spectrum73,1,-0.574,23.8935662
spectrum73,2,-0.278,2.67085324
spectrum73,3,-0.048,11.0810683
spectrum73,4,0.034,15.070058900000001
spectrum73,5,0.596,11.2295133
spectrum73,6,0.658,14.815108300000002
spectrum74,0,-0.928,1.93078497
spectrum74,1,-0.874,1.26112829
spectrum74,2,-0.776,5.11227138
spectrum74,3,-0.708,7.14440521
spectrum74,4,-0.628,3.61206182
spectrum74,5,-0.486,6.64000534
spectrum74,6,-0.422,6.82861772
spectrum74,7,-0.34,2.00802984
spectrum74,8,-0.264,1.30321647
spectrum74,9,-0.17,5.76394539
spectrum74,10,-0.086,4.61550441
spectrum74,11,-0.032,3.81081203
spectrum74,12,0.118,6.23651502
spectrum74,13,0.206,4.17852008
spectrum74,14,0.274,3.12056658
spectrum74,15,0.454,5.93502623
spectrum74,16,0.508,4.04125185
spectrum74,17,0.582,4.96622448
spectrum74,18,0.732,7.94520818
spectrum74,19,0.812,2.58477079
spectrum74,20,0.864,4.23790638
spectrum75,0,-0.926,1.92057743
spectrum75,1,-0.876,1.29307354
spectrum75,2,-0.778,5.08324838
spectrum75,3,-0.712,7.20719562
spectrum75,4,-0.628,3.59384489
spectrum75,5,-0.484,6.75937515
spectrum75,6,-0.422,6.84582866
spectrum75,7,-0.34,2.0292643
spectrum75,8,-0.26,1.33031326
spectrum75,9,-0.174,5.73634289
spectrum75,10,-0.09,4.77639569
spectrum75,11,-0.03,3.82489973
spectrum75,12,0.12,6.32673104
spectrum75,13,0.206,4.19567612
spectrum75,14,0.272,3.10504251
spectrum75,15,0.45,5.86973738
spectrum75,16,0.51,4.10180359
spectrum75,17,0.578,4.80603613
spectrum75,18,0.734,7.72728419
spectrum75,19,0.814,2.58763408
spectrum75,20,0.866,4.28410267
spectrum76,0,-0.672,3.05934706
spectrum76,1,-0.56,23.7826642
spectrum76,2,-0.262,3.09037415
spectrum76,3,-0.028,10.106442699999999
spectrum76,4,0.046,14.900804699999998
spectrum76,5,0.614,11.1427563
spectrum76,6,0.674,13.942452300000001
spectrum77,0,-0.928,1.91946818
spectrum77,1,-0.876,1.29198936
spectrum77,2,-0.778,5.05689562
spectrum77,3,-0.712,7.18689799
spectrum77,4,-0.628,3.60249275
spectrum77,5,-0.484,6.74540068
spectrum77,6,-0.422,6.82590099
spectrum77,7,-0.34,2.03171097
spectrum77,8,-0.262,1.33530938
spectrum77,9,-0.174,5.76879444
spectrum77,10,-0.09,4.75655076
spectrum77,11,-0.03,3.83244979
spectrum77,12,0.12,6.32480513
spectrum77,13,0.206,4.20650858
spectrum77,14,0.274,3.09036585
spectrum77,15,0.45,5.88697745
spectrum77,16,0.51,4.11084025
spectrum77,17,0.58,4.80052311
spectrum77,18,0.734,7.74547487
spectrum77,19,0.814,2.58611029
spectrum77,20,0.866,4.26883778
spectrum78,0,-0.928,1.93071982
spectrum78,1,-0.874,1.2610729
spectrum78,2,-0.776,5.11277755
spectrum78,3,-0.708,7.14402024
spectrum78,4,-0.628,3.61211227
spectrum78,5,-0.486,6.64029579
spectrum78,6,-0.422,6.82772627
spectrum78,7,-0.34,2.00907185
spectrum78,8,-0.264,1.30311734
spectrum78,9,-0.17,5.76313293
spectrum78,10,-0.086,4.61422535
spectrum78,11,-0.032,3.81110709
spectrum78,12,0.118,6.23570576
spectrum78,13,0.206,4.17817403
spectrum78,14,0.274,3.12062713
spectrum78,15,0.454,5.9349254
spectrum78,16,0.508,4.0406065
spectrum78,17,0.582,4.96682326
spectrum78,18,0.732,7.94347791
spectrum78,19,0.812,2.58500454
spectrum78,20,0.864,4.23857157
spectrum79,0,-0.69,3.72251326
spectrum79,1,-0.574,23.8444782
spectrum79,2,-0.278,2.67610601
spectrum79,3,-0.048,11.042627099999999
spectrum79,4,0.034,15.003290900000001
spectrum79,5,0.596,11.2400728
spectrum79,6,0.658,14.785760999999999
spectrum80,0,-0.758,5.24894108
spectrum80,1,-0.69,6.88528354
spectrum80,2,-0.612,3.55703315
spectrum80,3,-0.472,6.78669556
spectrum80,4,-0.406,6.52561583
spectrum80,5,-0.152,5.8920459
spectrum80,6,-0.068,4.57228508
spectrum80,7,-0.014,3.762631
spectrum80,8,0.132,6.36699023
spectrum80,9,0.222,4.16016558
spectrum80,10,0.292,3.15188064
spectrum80,11,0.472,5.94309778
spectrum80,12,0.524,4.10349682
spectrum80,13,0.602,5.16319036
spectrum80,14,0.748,7.89649593
spectrum80,15,0.824,2.62195689
spectrum80,16,0.882,4.24083957
spectrum81,0,-0.94,14.8814777
spectrum81,1,-0.63,30.0613109
spectrum81,2,-0.348,28.166007899999997
spectrum81,3,0.044,12.5826618
spectrum81,4,0.8,8.4888125
spectrum81,5,0.882,4.65611993
spectrum82,0,-0.428,74.8757946
spectrum83,0,-0.94,14.4442049
spectrum83,1,-0.638,28.510995399999995
spectrum83,2,-0.344,27.3594417
spectrum83,3,0.044,12.2201705
spectrum83,4,0.802,8.89481948
spectrum83,5,0.866,4.01773171
spectrum84,0,-0.938,14.098251500000002
spectrum84,1,-0.632,29.3517376
spectrum84,2,-0.346,27.737872600000003
spectrum84,3,0.046,11.7122455
spectrum84,4,0.804,8.17932727
spectrum84,5,0.878,4.29168722
spectrum85,0,-0.426,87.96866870000001
spectrum86,0,-0.938,14.098247
spectrum86,1,-0.632,29.351723600000003
spectrum86,2,-0.346,27.737855199999995
spectrum86,3,0.046,11.7122413
spectrum86,4,0.804,8.17932727
spectrum86,5,0.878,4.29168814
spectrum87,0,-0.94,14.446520800000002
spectrum87,1,-0.638,28.517465100000003
spectrum87,2,-0.344,27.354392600000004
spectrum87,3,0.044,12.220659199999998
spectrum87,4,0.802,8.88733691
spectrum87,5,0.866,4.02113779
spectrum88,0,-0.428,74.8757186
spectrum89,0,-0.94,14.866795000000002
spectrum89,1,-0.63,29.983312899999994
spectrum89,2,-0.348,28.1486838
spectrum89,3,0.044,12.587307000000001
spectrum89,4,0.8,8.48994885
spectrum89,5,0.882,4.65419657
spectrum90,0,-0.754,1.61219674
spectrum90,1,-0.69,0.46095102200000004
spectrum90,2,-0.468,0.18912975
spectrum91,0,0.462,390.275646
spectrum92,0,-0.99,0.0722496122
spectrum92,1,-0.972,0.0718537641
spectrum92,2,-0.954,0.0721500054
spectrum92,3,-0.936,0.0730169163
spectrum92,4,-0.918,0.0739895702
spectrum92,5,-0.756,0.6742976340000001
spectrum93,0,-0.998,0.0680699865
spectrum93,1,-0.98,0.0676180606
spectrum93,2,-0.962,0.0687251219
spectrum93,3,-0.944,0.0706104607
spectrum93,4,-0.928,0.0706341652
spectrum93,5,-0.91,0.0713422975
spectrum93,6,-0.756,0.648398583
spectrum94,0,0.462,392.96351699999997
spectrum95,0,-0.998,0.068069989
spectrum95,1,-0.98,0.0676180597
spectrum95,2,-0.962,0.0687251151
spectrum95,3,-0.944,0.0706104619
spectrum95,4,-0.928,0.0706341591
spectrum95,5,-0.91,0.0713423042
spectrum95,6,-0.756,0.64839859
spectrum96,0,-0.99,0.0722498789
spectrum96,1,-0.972,0.0718535287
spectrum96,2,-0.954,0.0721498109
spectrum96,3,-0.936,0.0730169011
spectrum96,4,-0.918,0.07398992480000001
spectrum96,5,-0.756,0.6742979090000001
spectrum97,0,0.462,390.275647
spectrum98,0,-0.754,1.61220585
spectrum98,1,-0.69,0.460944013
spectrum98,2,-0.468,0.189128099
spectrum99,0,-0.934,15.078094
spectrum99,1,-0.628,29.6616523
spectrum99,2,-0.346,26.865020299999998
spectrum99,3,0.05,12.3092394
spectrum99,4,0.708,3.16352176
spectrum99,5,0.802,8.58192931
spectrum99,6,0.878,4.59245913
spectrum100,0,-0.424,79.2044795
spectrum101,0,-0.938,14.8721386
spectrum101,1,-0.63,29.958261699999998
spectrum101,2,-0.35,28.2609534
spectrum101,3,0.042,12.3489462
spectrum101,4,0.804,8.54112354
spectrum101,5,0.878,4.45037923
spectrum102,0,-0.938,14.768581099999999
spectrum102,1,-0.63,29.989818
spectrum102,2,-0.358,26.471355
spectrum102,3,0.044,12.446842199999999
spectrum102,4,0.804,8.44711412
spectrum102,5,0.878,4.48441746
spectrum103,0,-0.44,63.2802559
spectrum104,0,-0.938,14.768581099999999
spectrum104,1,-0.63,29.989818
spectrum104,2,-0.358,26.471355
spectrum104,3,0.044,12.4468423
spectrum104,4,0.804,8.44711391
spectrum104,5,0.878,4.48441745
spectrum105,0,-0.938,14.872137699999998
spectrum105,1,-0.63,29.958260499999998
spectrum105,2,-0.35,28.260952500000002
spectrum105,3,0.042,12.348945500000001
spectrum105,4,0.804,8.54112391
spectrum105,5,0.878,4.45038074
spectrum106,0,-0.424,79.2044754
spectrum107,0,-0.934,15.078037400000001
spectrum107,1,-0.628,29.661857899999998
spectrum107,2,-0.346,26.864919300000004
spectrum107,3,0.05,12.3091114
spectrum107,4,0.708,3.16365698
spectrum107,5,0.802,8.58196874
spectrum107,6,0.878,4.59274004
spectrum108,0,-0.936,14.5352889
spectrum108,1,-0.628,29.335690000000003
spectrum108,2,-0.346,27.478468300000003
spectrum108,3,0.046,12.1597383
spectrum108,4,0.802,7.66375927
spectrum108,5,0.878,4.53197372
spectrum109,0,-0.432,73.65199059999999
spectrum110,0,-0.938,14.854779
spectrum110,1,-0.63,30.0791825
spectrum110,2,-0.346,25.2012324
spectrum110,3,0.044,12.296893199999998
spectrum110,4,0.804,8.37171468
spectrum110,5,0.878,4.63897624
spectrum111,0,-0.938,14.681745000000001
spectrum111,1,-0.63,30.1496538
spectrum111,2,-0.348,27.1061522
spectrum111,3,0.042,12.1078978
spectrum111,4,0.804,8.33414516
spectrum111,5,0.878,4.54908866
spectrum112,0,-0.428,78.53412850000001
spectrum113,0,-0.938,14.681745000000001
spectrum113,1,-0.63,30.1496538
spectrum113,2,-0.348,27.1061522
spectrum113,3,0.042,12.1078978
spectrum113,4,0.804,8.33414516
spectrum113,5,0.878,4.54908866
spectrum114,0,-0.938,14.854779
spectrum114,1,-0.63,30.079182300000003
spectrum114,2,-0.346,25.2012328
spectrum114,3,0.044,12.2968933
spectrum114,4,0.804,8.37171467
spectrum114,5,0.878,4.63897631
spectrum115,0,-0.432,73.6519907
spectrum116,0,-0.936,14.5352908
spectrum116,1,-0.628,29.3356998
spectrum116,2,-0.346,27.478476300000004
spectrum116,3,0.046,12.159741499999999
spectrum116,4,0.802,7.66370824
spectrum116,5,0.878,4.53197249
spectrum117,0,-0.762,2.99094076
spectrum117,1,-0.514,0.314453713
spectrum118,0,0.46,388.13054900000003
spectrum119,0,-0.982,0.07437265679999999
spectrum119,1,-0.964,0.0752154616
spectrum119,2,-0.948,0.076812898
spectrum119,3,-0.93,0.077703886
spectrum119,4,-0.914,0.0782452531
spectrum119,5,-0.756,0.67404694
spectrum120,0,-0.98,0.0861515012
spectrum120,1,-0.928,0.0710475862
spectrum120,2,-0.756,0.684302895
spectrum121,0,0.462,393.832607
spectrum122,0,-0.98,0.0861496715
spectrum122,1,-0.928,0.0708600529
spectrum122,2,-0.756,0.6845479740000001
spectrum123,0,-0.982,0.0743994813
spectrum123,1,-0.964,0.0752031024
spectrum123,2,-0.948,0.0766513385
spectrum123,3,-0.93,0.0777502271
spectrum123,4,-0.914,0.0785859507
spectrum123,5,-0.756,0.67418923
spectrum124,0,0.46,388.128195
spectrum125,0,-0.762,2.94158159
spectrum125,1,-0.522,0.316680265
spectrum126,0,-0.936,14.5352927
spectrum126,1,-0.628,29.335698600000004
spectrum126,2,-0.346,27.4784762
spectrum126,3,0.046,12.1597409
spectrum126,4,0.802,7.66375066
spectrum126,5,0.878,4.53197506
spectrum127,0,-0.432,73.65199059999999
spectrum128,0,-0.938,14.8547789
spectrum128,1,-0.63,30.0791821
spectrum128,2,-0.346,25.2012331
spectrum128,3,0.044,12.296893199999998
spectrum128,4,0.804,8.37171478
spectrum128,5,0.878,4.63897633
spectrum129,0,-0.938,14.681745000000001
spectrum129,1,-0.63,30.1496538
spectrum129,2,-0.348,27.1061522
spectrum129,3,0.042,12.1078978
spectrum129,4,0.804,8.33414516
spectrum129,5,0.878,4.54908866
spectrum130,0,-0.428,78.5342203
spectrum131,0,-0.938,14.681745000000001
spectrum131,1,-0.63,30.1496538
spectrum131,2,-0.348,27.1061522
spectrum131,3,0.042,12.1078978
spectrum131,4,0.804,8.33414516
spectrum131,5,0.878,4.54908866
spectrum132,0,-0.938,14.8547792
spectrum132,1,-0.63,30.0791826
spectrum132,2,-0.346,25.2012324
spectrum132,3,0.044,12.2968934
spectrum132,4,0.804,8.37171454
spectrum132,5,0.878,4.63897628
spectrum133,0,-0.432,73.6519907
spectrum134,0,-0.936,14.535286
spectrum134,1,-0.628,29.3356918
spectrum134,2,-0.346,27.478473100000002
spectrum134,3,0.046,12.159737400000001
spectrum134,4,0.802,7.66368552
spectrum134,5,0.878,4.53196676
spectrum135,0,-0.934,15.0780454
spectrum135,1,-0.628,29.6616402
spectrum135,2,-0.346,26.864988
spectrum135,3,0.05,12.3091946
spectrum135,4,0.708,3.16357484
spectrum135,5,0.802,8.58194381
spectrum135,6,0.878,4.59252988
spectrum136,0,-0.424,79.2044814
spectrum137,0,-0.938,14.8721392
spectrum137,1,-0.63,29.958260600000003
spectrum137,2,-0.35,28.2609527
spectrum137,3,0.042,12.348945599999999
spectrum137,4,0.804,8.54112332
spectrum137,5,0.878,4.45038041
spectrum138,0,-0.938,14.7685812
spectrum138,1,-0.63,29.989818100000004
spectrum138,2,-0.358,26.471354700000003
spectrum138,3,0.044,12.4468423
spectrum138,4,0.804,8.44711416
spectrum138,5,0.878,4.48441732
spectrum139,0,-0.44,63.280554599999995
spectrum140,0,-0.938,14.768581099999999
spectrum140,1,-0.63,29.989818
spectrum140,2,-0.358,26.471355100000004
spectrum140,3,0.044,12.446842199999999
spectrum140,4,0.804,8.44711419
spectrum140,5,0.878,4.48441746
spectrum141,0,-0.938,14.872136800000002
spectrum141,1,-0.63,29.9582613
spectrum141,2,-0.35,28.2609533
spectrum141,3,0.042,12.348945500000001
spectrum141,4,0.804,8.54112326
spectrum141,5,0.878,4.45037997
spectrum142,0,-0.424,79.20447340000001
spectrum143,0,-0.934,15.0778688
spectrum143,1,-0.628,29.6619211
spectrum143,2,-0.346,26.865326300000003
spectrum143,3,0.05,12.309130300000001
spectrum143,4,0.708,3.1634164
spectrum143,5,0.802,8.58191284
spectrum143,6,0.878,4.59249219
spectrum144,0,-0.754,1.6122027
spectrum144,1,-0.69,0.460947152
spectrum144,2,-0.468,0.189126966
spectrum145,0,0.462,390.275647
spectrum146,0,-0.99,0.0722498463
spectrum146,1,-0.972,0.07185353950000001
spectrum146,2,-0.954,0.0721496989
spectrum146,3,-0.936,0.0730169604
spectrum146,4,-0.918,0.0739899566
spectrum146,5,-0.756,0.674297892
spectrum147,0,-0.998,0.0680699888
spectrum147,1,-0.98,0.06761805929999999
spectrum147,2,-0.962,0.068725115
spectrum147,3,-0.944,0.0706104613
spectrum147,4,-0.928,0.0706341589
spectrum147,5,-0.91,0.0713423032
spectrum147,6,-0.756,0.64839859
spectrum148,0,0.462,392.962408
spectrum149,0,-0.998,0.06806999059999999
spectrum149,1,-0.98,0.0676180554
spectrum149,2,-0.962,0.0687251245
spectrum149,3,-0.944,0.07061046019999999
spectrum149,4,-0.928,0.07063416480000001
spectrum149,5,-0.91,0.0713422991
spectrum149,6,-0.756,0.648398584
spectrum150,0,-0.99,0.0722496303
spectrum150,1,-0.972,0.0718537311
spectrum150,2,-0.954,0.0721499395
spectrum150,3,-0.936,0.0730169368
spectrum150,4,-0.918,0.0739896688
spectrum150,5,-0.756,0.6742976940000001
spectrum151,0,0.462,390.275644
spectrum152,0,-0.754,1.61222091
spectrum152,1,-0.69,0.46094292299999995
spectrum152,2,-0.468,0.189122335
spectrum153,0,-0.94,14.858924700000001
spectrum153,1,-0.63,29.943976399999997
spectrum153,2,-0.348,28.142197399999997
spectrum153,3,0.044,12.6250731
spectrum153,4,0.8,8.50174851
spectrum153,5,0.882,4.61525808
spectrum154,0,-0.428,74.876193
spectrum155,0,-0.94,14.458531400000002
spectrum155,1,-0.638,28.5433396
spectrum155,2,-0.344,27.375054600000002
spectrum155,3,0.044,12.2303091
spectrum155,4,0.802,8.8857773
spectrum155,5,0.866,4.01732472
spectrum156,0,-0.938,14.0982492
spectrum156,1,-0.632,29.351733199999998
spectrum156,2,-0.346,27.737865000000003
spectrum156,3,0.046,11.7122483
spectrum156,4,0.804,8.1793238
spectrum156,5,0.878,4.29167869
spectrum157,0,-0.426,88.01283240000001
spectrum158,0,-0.938,14.098244099999999
spectrum158,1,-0.632,29.351721100000002
spectrum158,2,-0.346,27.7378526
spectrum158,3,0.046,11.7122349
spectrum158,4,0.804,8.17933162
spectrum158,5,0.878,4.29169935
spectrum159,0,-0.94,14.441545600000001
spectrum159,1,-0.638,28.5084484
spectrum159,2,-0.344,27.348365100000002
spectrum159,3,0.044,12.2171413
spectrum159,4,0.802,8.88758937
spectrum159,5,0.866,4.01981632
spectrum160,0,-0.428,74.87554820000001
spectrum161,0,-0.94,14.8705195
spectrum161,1,-0.63,30.0091269
spectrum161,2,-0.348,28.1234723
spectrum161,3,0.044,12.571591499999998
spectrum161,4,0.8,8.50284095
spectrum161,5,0.882,4.65234666
spectrum162,0,-0.93,1.93379877
spectrum162,1,-0.878,1.25486716
spectrum162,2,-0.776,5.07133172
spectrum162,3,-0.702,6.96098357
spectrum162,4,-0.63,3.68071744
spectrum162,5,-0.49,6.14422413
spectrum162,6,-0.422,6.80589476
spectrum162,7,-0.344,2.03941851
spectrum162,8,-0.264,1.30094219
spectrum162,9,-0.166,5.73020631
spectrum162,10,-0.084,4.4396532
spectrum162,11,-0.03,3.79735147
spectrum162,12,0.118,6.1803971
spectrum162,13,0.202,4.09533452
spectrum162,14,0.27,3.13243102
spectrum162,15,0.454,5.94508321
spectrum162,16,0.508,4.00817993
spectrum162,17,0.582,5.01900552
spectrum162,18,0.732,8.54793555
spectrum162,19,0.814,2.638675
spectrum162,20,0.86,4.19369335
spectrum163,0,-0.694,3.87256325
spectrum163,1,-0.584,22.9577076
spectrum163,2,-0.274,2.7232236
spectrum163,3,-0.042,11.5818743
spectrum163,4,0.034,14.947489000000001
spectrum163,5,0.598,11.153678900000001
spectrum163,6,0.656,14.874684400000001
spectrum164,0,-0.874,1.27231896
spectrum164,1,-0.774,5.09941002
spectrum164,2,-0.714,7.29177907
spectrum164,3,-0.628,3.54645063
spectrum164,4,-0.486,6.77429973
spectrum164,5,-0.424,6.84387212
spectrum164,6,-0.344,1.94004128
spectrum164,7,-0.302,1.55907159
spectrum164,8,-0.168,5.66311736
spectrum164,9,-0.084,4.58486238
spectrum164,10,-0.032,3.80081882
spectrum164,11,0.116,6.10967715
spectrum164,12,0.202,4.08531606
spectrum164,13,0.274,3.15638572
spectrum164,14,0.33,1.58450997
spectrum164,15,0.454,5.9827631
spectrum164,16,0.502,3.95335281
